Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.576	0.034
1.201	0.405	0.269
1.802	0.25	0.453
2.402	0.61	0.369
3.003	0.259	0.198
3.604	0.361	-0.003
4.204	0.4	-0.031
4.805	0.206	0.147
5.405	0.454	0.313
6.006	0.409	0.391
6.607	0.358	0.307
7.207	0.37	0.116
7.808	0.26	-0.011
8.408	0.315	0.008
9.009	0.322	0.166
9.61	0.327	0.325
10.21	0.405	0.346
10.811	0.343	0.235
11.411	0.303	0.075
12.012	0.327	-0.005
12.613	0.267	0.071
13.213	0.319	0.215
13.814	0.369	0.314
14.414	0.326	0.296
15.015	0.319	0.165
15.616	0.298	0.035
16.216	0.287	0.017
16.817	0.333	0.124
17.417	0.357	0.275
18.018	0.409	0.346
18.619	0.383	0.292
19.219	0.327	0.152
19.82	0.31	0.032
20.42	0.306	0.032
21.021	0.349	0.152
21.622	0.408	0.301
22.222	0.339	0.361
22.823	0.389	0.258
23.423	0.378	0.101
24.024	0.371	0.035
24.625	0.324	0.114
25.225	0.363	0.247
25.826	0.417	0.327
26.426	0.361	0.299
27.027	0.407	0.176
27.628	0.318	0.079
28.228	0.307	0.067
28.829	0.353	0.144
29.429	0.325	0.253
30.03	0.359	0.289
30.631	0.37	0.23
31.231	0.337	0.135
31.832	0.3	0.078
32.432	0.308	0.096
33.033	0.352	0.175
33.634	0.364	0.261
34.234	0.351	0.28
34.835	0.368	0.211
35.435	0.37	0.125
36.036	0.334	0.1
36.637	0.331	0.146
37.237	0.362	0.216
37.838	0.372	0.261
38.438	0.312	0.239
39.039	0.375	0.154
39.64	0.298	0.099
40.24	0.335	0.104
40.841	0.363	0.173
41.441	0.294	0.251
42.042	0.388	0.248
42.643	0.369	0.198
43.243	0.294	0.139
43.844	0.386	0.103
44.444	0.335	0.15
45.045	0.32	0.222
45.646	0.386	0.247
46.246	0.356	0.225
46.847	0.36	0.17
47.447	0.344	0.13
48.048	0.308	0.134
48.649	0.391	0.169
49.249	0.341	0.229
49.85	0.383	0.247
50.45	0.4	0.221
51.051	0.339	0.179
51.652	0.381	0.142
52.252	0.314	0.151
52.853	0.401	0.181
53.453	0.414	0.232
54.054	0.292	0.261
54.655	0.427	0.205
55.255	0.356	0.154
55.856	0.286	0.134
56.456	0.351	0.136
57.057	0.295	0.174
57.658	0.369	0.201
58.258	0.383	0.217
58.859	0.343	0.215
59.459	0.377	0.184
60.06	0.374	0.164
60.661	0.334	0.171
61.261	0.348	0.183
61.862	0.367	0.195
62.462	0.355	0.201
63.063	0.354	0.192
63.664	0.369	0.177
64.264	0.375	0.176
64.865	0.336	0.19
65.465	0.371	0.195
66.066	0.373	0.197
66.667	0.331	0.194
67.267	0.389	0.177
67.868	0.363	0.18
68.468	0.373	0.193
69.069	0.39	0.209
69.67	0.325	0.215
70.27	0.349	0.183
70.871	0.353	0.15
71.471	0.274	0.144
72.072	0.306	0.143
72.673	0.337	0.158
73.273	0.309	0.187
73.874	0.31	0.194
74.474	0.34	0.173
75.075	0.328	0.154
75.676	0.356	0.153
76.276	0.356	0.181
76.877	0.281	0.209
77.477	0.362	0.188
78.078	0.301	0.161
78.679	0.305	0.133
79.279	0.372	0.134
79.88	0.294	0.181
80.48	0.384	0.212
81.081	0.384	0.228
81.682	0.352	0.216
82.282	0.423	0.18
