Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.768	0.048
1.201	0.629	0.364
1.802	0.476	0.652
2.402	0.722	0.588
3.003	0.63	0.311
3.604	0.589	0.058
4.204	0.513	0.032
4.805	0.425	0.222
5.405	0.519	0.42
6.006	0.609	0.478
6.607	0.613	0.387
7.207	0.466	0.225
7.808	0.459	0.089
8.408	0.447	0.091
9.009	0.413	0.222
9.61	0.446	0.35
10.21	0.517	0.373
10.811	0.489	0.294
11.411	0.455	0.182
12.012	0.464	0.123
12.613	0.396	0.169
13.213	0.409	0.253
13.814	0.45	0.302
14.414	0.449	0.289
15.015	0.393	0.222
15.616	0.427	0.146
16.216	0.43	0.137
16.817	0.455	0.21
17.417	0.495	0.308
18.018	0.572	0.363
18.619	0.533	0.353
19.219	0.491	0.275
19.82	0.456	0.179
20.42	0.466	0.14
21.021	0.507	0.197
21.622	0.561	0.319
22.222	0.458	0.406
22.823	0.539	0.35
23.423	0.595	0.226
24.024	0.632	0.184
24.625	0.486	0.268
25.225	0.526	0.348
25.826	0.592	0.361
26.426	0.534	0.318
27.027	0.583	0.246
27.628	0.492	0.22
28.228	0.471	0.233
28.829	0.495	0.261
29.429	0.47	0.283
30.03	0.462	0.273
30.631	0.496	0.236
31.231	0.496	0.217
31.832	0.42	0.232
32.432	0.449	0.241
33.033	0.51	0.245
33.634	0.504	0.266
34.234	0.469	0.283
34.835	0.503	0.269
35.435	0.563	0.249
36.036	0.518	0.266
36.637	0.488	0.289
37.237	0.524	0.281
37.838	0.518	0.265
38.438	0.416	0.248
39.039	0.504	0.212
39.64	0.439	0.212
40.24	0.497	0.237
40.841	0.506	0.279
41.441	0.425	0.301
42.042	0.509	0.26
42.643	0.521	0.22
43.243	0.441	0.222
43.844	0.532	0.239
44.444	0.526	0.286
45.045	0.471	0.321
45.646	0.507	0.289
46.246	0.538	0.235
46.847	0.514	0.221
47.447	0.481	0.249
48.048	0.474	0.278
48.649	0.572	0.285
49.249	0.505	0.294
49.85	0.568	0.284
50.45	0.553	0.281
51.051	0.547	0.285
51.652	0.549	0.29
52.252	0.487	0.289
52.853	0.623	0.267
53.453	0.606	0.29
54.054	0.437	0.329
54.655	0.589	0.294
55.255	0.553	0.261
55.856	0.461	0.253
56.456	0.439	0.237
57.057	0.45	0.215
57.658	0.508	0.214
58.258	0.521	0.259
58.859	0.53	0.316
59.459	0.538	0.335
60.06	0.589	0.309
60.661	0.529	0.276
61.261	0.482	0.243
61.862	0.533	0.225
62.462	0.518	0.25
63.063	0.494	0.292
63.664	0.56	0.306
64.264	0.579	0.305
64.865	0.506	0.296
65.465	0.542	0.264
66.066	0.551	0.249
66.667	0.486	0.264
67.267	0.559	0.276
67.868	0.556	0.299
68.468	0.585	0.316
69.069	0.568	0.321
69.67	0.502	0.302
70.27	0.485	0.246
70.871	0.503	0.199
71.471	0.387	0.205
72.072	0.383	0.214
72.673	0.462	0.215
73.273	0.442	0.238
73.874	0.386	0.252
74.474	0.471	0.229
75.075	0.473	0.215
75.676	0.511	0.234
76.276	0.516	0.282
76.877	0.394	0.309
77.477	0.496	0.255
78.078	0.419	0.194
78.679	0.438	0.162
79.279	0.491	0.193
79.88	0.454	0.276
80.48	0.541	0.329
81.081	0.576	0.338
81.682	0.581	0.31
82.282	0.625	0.278
82.883	0.569	0.287
83.483	0.585	0.31
84.084	0.568	0.326
84.685	0.559	0.314
85.285	0.611	0.285
85.886	0.609	0.284
86.486	0.609	0.314
87.087	0.642	0.349
87.688	0.663	0.37
88.288	0.65	0.37
88.889	0.676	0.343
89.489	0.685	0.323
90.09	0.624	0.332
90.691	0.747	0.347
91.291	0.718	0.395
91.892	0.81	0.432
92.492	0.805	0.453
93.093	0.727	0.441
93.694	0.703	0.375
94.294	0.714	0.302
94.895	0.704	0.29
95.495	0.683	0.349
96.096	0.708	0.417
96.697	0.706	0.44
97.297	0.656	0.395
97.898	0.646	0.305
98.498	0.658	0.247
99.099	0.686	0.279
99.7	0.706	0.381
100.3	0.735	0.47
100.901	0.762	0.479
101.502	0.765	0.415
102.102	0.732	0.338
102.703	0.632	0.297
103.303	0.696	0.295
103.904	0.665	0.349
104.505	0.64	0.403
105.105	0.587	0.39
105.706	0.689	0.31
106.306	0.623	0.264
106.907	0.612	0.279
107.508	0.582	0.331
108.108	0.598	0.359
108.709	0.579	0.342
109.309	0.573	0.29
109.91	0.535	0.244
110.511	0.488	0.232
111.111	0.483	0.244
111.712	0.504	0.266
112.312	0.448	0.279
112.913	0.478	0.255
113.514	0.536	0.227
114.114	0.519	0.244
114.715	0.513	0.286
115.315	0.561	0.314
115.916	0.583	0.324
116.517	0.532	0.309
117.117	0.562	0.27
117.718	0.585	0.252
118.318	0.542	0.28
118.919	0.569	0.313
119.52	0.548	0.328
120.12	0.547	0.306
120.721	0.581	0.267
121.321	0.539	0.257
121.922	0.547	0.272
122.523	0.621	0.304
123.123	0.53	0.343
123.724	0.627	0.335
124.324	0.522	0.304
124.925	0.555	0.256
125.526	0.467	0.232
126.126	0.46	0.221
126.727	0.604	0.236
127.327	0.561	0.312
127.928	0.632	0.378
128.529	0.63	0.394
129.129	0.668	0.352
129.73	0.713	0.307
130.33	0.682	0.319
130.931	0.626	0.364
131.532	0.691	0.38
132.132	0.682	0.378
132.733	0.574	0.349
133.333	0.654	0.286
133.934	0.622	0.266
134.535	0.636	0.303
135.135	0.656	0.369
135.736	0.63	0.407
136.336	0.715	0.378
136.937	0.667	0.337
137.538	0.579	0.304
138.138	0.602	0.276
138.739	0.601	0.283
139.339	0.602	0.321
139.94	0.559	0.349
140.541	0.594	0.328
141.141	0.609	0.288
141.742	0.57	0.273
142.342	0.624	0.287
142.943	0.621	0.333
143.544	0.578	0.369
144.144	0.615	0.348
144.745	0.561	0.297
145.345	0.591	0.249
145.946	0.493	0.247
146.547	0.478	0.26
147.147	0.534	0.268
147.748	0.509	0.282
148.348	0.478	0.28
148.949	0.491	0.252
149.55	0.427	0.225
150.15	0.375	0.198
150.751	0.478	0.177
151.351	0.472	0.217
151.952	0.44	0.283
152.553	0.498	0.302
153.153	0.568	0.285
153.754	0.5	0.272
154.354	0.489	0.251
154.955	0.515	0.236
155.556	0.451	0.247
156.156	0.481	0.253
156.757	0.518	0.256
157.357	0.558	0.274
157.958	0.563	0.305
158.559	0.555	0.326
159.159	0.541	0.316
159.76	0.505	0.272
160.36	0.497	0.22
160.961	0.524	0.205
161.562	0.567	0.253
162.162	0.523	0.333
162.763	0.567	0.362
163.363	0.535	0.326
163.964	0.529	0.249
164.565	0.527	0.196
165.165	0.488	0.216
165.766	0.543	0.276
166.366	0.513	0.339
166.967	0.441	0.334
167.568	0.48	0.24
168.168	0.416	0.15
168.769	0.384	0.127
169.369	0.512	0.179
169.97	0.569	0.308
170.571	0.559	0.424
171.171	0.597	0.419
171.772	0.61	0.314
172.372	0.534	0.21
172.973	0.464	0.169
173.574	0.523	0.202
174.174	0.443	0.291
174.775	0.436	0.329
175.375	0.523	0.277
175.976	0.478	0.214
176.577	0.42	0.183
177.177	0.44	0.19
177.778	0.482	0.233
178.378	0.558	0.295
178.979	0.535	0.346
179.58	0.64	0.343
180.18	0.612	0.324
180.781	0.612	0.301
181.381	0.616	0.294
181.982	0.557	0.31
182.583	0.545	0.309
183.183	0.565	0.287
183.784	0.555	0.27
184.384	0.571	0.273
184.985	0.486	0.293
185.586	0.539	0.285
186.186	0.486	0.268
186.787	0.468	0.241
187.387	0.489	0.217
187.988	0.52	0.23
188.589	0.444	0.274
189.189	0.532	0.289
189.79	0.533	0.289
190.39	0.468	0.274
190.991	0.547	0.24
191.592	0.548	0.243
192.192	0.584	0.29
192.793	0.558	0.349
193.393	0.548	0.357
193.994	0.566	0.302
194.595	0.578	0.242
195.195	0.613	0.24
195.796	0.551	0.306
196.396	0.568	0.358
196.997	0.558	0.351
197.598	0.512	0.288
198.198	0.536	0.212
198.799	0.522	0.195
199.399	0.615	0.257
200.0	0.581	0.371
200.601	0.569	0.424
201.201	0.644	0.366
201.802	0.625	0.274
202.402	0.51	0.226
203.003	0.485	0.219
203.604	0.535	0.247
204.204	0.462	0.299
204.805	0.459	0.301
205.405	0.508	0.247
206.006	0.543	0.209
206.607	0.468	0.232
207.207	0.54	0.276
207.808	0.56	0.322
208.408	0.607	0.346
209.009	0.515	0.332
209.61	0.55	0.267
210.21	0.545	0.22
210.811	0.577	0.236
211.411	0.527	0.306
212.012	0.534	0.35
212.613	0.608	0.331
213.213	0.569	0.293
213.814	0.564	0.261
214.414	0.559	0.259
215.015	0.547	0.286
215.616	0.568	0.314
216.216	0.584	0.326
216.817	0.621	0.321
217.417	0.578	0.311
218.018	0.634	0.299
218.619	0.644	0.312
219.219	0.597	0.345
219.82	0.519	0.346
220.42	0.575	0.285
221.021	0.644	0.24
221.622	0.594	0.277
222.222	0.631	0.348
222.823	0.686	0.404
223.423	0.694	0.414
224.024	0.714	0.376
224.625	0.736	0.337
225.225	0.612	0.331
225.826	0.659	0.324
226.426	0.669	0.332
227.027	0.583	0.352
227.628	0.682	0.34
228.228	0.565	0.33
228.829	0.468	0.289
229.429	0.55	0.219
230.03	0.526	0.205
230.631	0.514	0.253
231.231	0.633	0.323
