Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.752	0.044
1.201	0.539	0.351
1.802	0.29	0.597
2.402	0.668	0.466
3.003	0.321	0.185
3.604	0.414	-0.084
4.204	0.416	-0.083
4.805	0.203	0.181
5.405	0.472	0.401
6.006	0.488	0.462
6.607	0.419	0.332
7.207	0.266	0.091
7.808	0.248	-0.097
8.408	0.285	-0.073
9.009	0.242	0.149
9.61	0.316	0.356
10.21	0.387	0.388
10.811	0.306	0.24
11.411	0.258	0.023
12.012	0.294	-0.087
12.613	0.19	0.017
13.213	0.246	0.203
13.814	0.34	0.322
14.414	0.259	0.302
15.015	0.221	0.13
15.616	0.241	-0.051
16.216	0.226	-0.072
16.817	0.304	0.086
17.417	0.37	0.309
18.018	0.479	0.429
18.619	0.399	0.374
19.219	0.3	0.168
19.82	0.266	-0.047
20.42	0.268	-0.087
21.021	0.362	0.085
21.622	0.488	0.358
22.222	0.275	0.513
22.823	0.439	0.349
23.423	0.461	0.064
24.024	0.487	-0.051
24.625	0.299	0.105
25.225	0.39	0.32
25.826	0.521	0.429
26.426	0.335	0.372
27.027	0.525	0.158
27.628	0.277	0.025
28.228	0.262	0.018
28.829	0.381	0.128
29.429	0.26	0.288
30.03	0.342	0.322
30.631	0.378	0.22
31.231	0.316	0.091
31.832	0.229	0.029
32.432	0.263	0.057
33.033	0.36	0.161
33.634	0.369	0.286
34.234	0.321	0.323
34.835	0.381	0.221
35.435	0.43	0.1
36.036	0.336	0.087
36.637	0.315	0.161
37.237	0.388	0.238
37.838	0.386	0.281
38.438	0.21	0.238
39.039	0.413	0.098
39.64	0.217	0.041
40.24	0.333	0.071
40.841	0.393	0.192
41.441	0.187	0.307
42.042	0.429	0.256
42.643	0.382	0.16
43.243	0.202	0.091
43.844	0.461	0.058
44.444	0.339	0.173
45.045	0.271	0.295
45.646	0.428	0.284
46.246	0.362	0.207
46.847	0.365	0.119
47.447	0.336	0.093
48.048	0.259	0.138
48.649	0.479	0.197
49.249	0.329	0.283
49.85	0.44	0.281
50.45	0.467	0.228
51.051	0.341	0.181
51.652	0.446	0.145
52.252	0.266	0.174
52.853	0.531	0.195
53.453	0.527	0.277
54.054	0.174	0.337
54.655	0.561	0.213
55.255	0.377	0.131
55.856	0.192	0.113
56.456	0.351	0.101
57.057	0.208	0.147
57.658	0.387	0.176
58.258	0.428	0.221
58.859	0.344	0.263
59.459	0.423	0.236
60.06	0.449	0.195
60.661	0.323	0.183
61.261	0.328	0.164
61.862	0.401	0.157
62.462	0.353	0.19
63.063	0.352	0.217
63.664	0.428	0.217
64.264	0.439	0.219
64.865	0.317	0.222
65.465	0.412	0.186
66.066	0.41	0.172
66.667	0.29	0.188
67.267	0.464	0.187
67.868	0.404	0.224
68.468	0.442	0.255
69.069	0.468	0.264
69.67	0.281	0.244
70.27	0.336	0.144
70.871	0.351	0.072
71.471	0.14	0.092
72.072	0.228	0.11
72.673	0.318	0.138
73.273	0.236	0.186
73.874	0.226	0.18
74.474	0.311	0.124
75.075	0.284	0.096
75.676	0.372	0.124
76.276	0.376	0.212
76.877	0.16	0.271
77.477	0.379	0.183
78.078	0.206	0.086
78.679	0.217	0.02
79.279	0.402	0.05
79.88	0.208	0.203
80.48	0.447	0.294
81.081	0.454	0.317
81.682	0.381	0.26
82.282	0.555	0.163
82.883	0.358	0.163
83.483	0.434	0.202
84.084	0.44	0.258
84.685	0.348	0.28
85.285	0.516	0.226
85.886	0.456	0.199
86.486	0.441	0.21
87.087	0.543	0.246
87.688	0.503	0.309
88.288	0.513	0.336
88.889	0.557	0.299
89.489	0.559	0.252
90.09	0.44	0.236
90.691	0.693	0.238
91.291	0.586	0.336
91.892	0.737	0.421
92.492	0.785	0.464
93.093	0.525	0.441
93.694	0.602	0.283
94.294	0.567	0.144
94.895	0.539	0.142
95.495	0.579	0.272
96.096	0.594	0.427
96.697	0.596	0.474
97.297	0.494	0.366
97.898	0.473	0.165
98.498	0.496	0.044
99.099	0.546	0.121
99.7	0.61	0.347
100.3	0.654	0.541
100.901	0.688	0.552
101.502	0.651	0.385
102.102	0.601	0.182
102.703	0.408	0.09
103.303	0.594	0.133
103.904	0.522	0.321
104.505	0.504	0.47
105.105	0.449	0.422
105.706	0.576	0.215
106.306	0.429	0.068
106.907	0.448	0.076
107.508	0.417	0.229
108.108	0.44	0.371
108.709	0.46	0.383
109.309	0.394	0.26
109.91	0.372	0.09
110.511	0.261	0.014
111.111	0.286	0.059
111.712	0.337	0.189
112.312	0.25	0.297
112.913	0.331	0.26
113.514	0.398	0.141
114.114	0.318	0.078
114.715	0.337	0.101
115.315	0.405	0.196
115.916	0.425	0.305
116.517	0.369	0.33
117.117	0.433	0.234
117.718	0.436	0.129
118.318	0.353	0.11
118.919	0.413	0.166
119.52	0.375	0.26
120.12	0.371	0.298
120.721	0.472	0.245
121.321	0.353	0.18
121.922	0.385	0.129
122.523	0.511	0.151
123.123	0.297	0.258
123.724	0.533	0.3
