Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.837	0.05
1.201	0.638	0.393
1.802	0.432	0.685
2.402	0.78	0.583
3.003	0.538	0.286
3.604	0.547	0.002
4.204	0.516	-0.023
4.805	0.379	0.214
5.405	0.544	0.451
6.006	0.617	0.527
6.607	0.588	0.412
7.207	0.425	0.192
7.808	0.422	0.01
8.408	0.419	0.022
9.009	0.385	0.212
9.61	0.449	0.397
10.21	0.517	0.432
10.811	0.472	0.312
11.411	0.423	0.133
12.012	0.439	0.039
12.613	0.356	0.114
13.213	0.387	0.259
13.814	0.457	0.354
14.414	0.429	0.339
15.015	0.374	0.217
15.616	0.403	0.08
16.216	0.395	0.06
16.817	0.434	0.177
17.417	0.494	0.34
18.018	0.585	0.43
18.619	0.529	0.398
19.219	0.467	0.255
19.82	0.424	0.102
20.42	0.43	0.062
21.021	0.495	0.174
21.622	0.576	0.366
22.222	0.438	0.483
22.823	0.549	0.38
23.423	0.59	0.184
24.024	0.619	0.107
24.625	0.451	0.22
25.225	0.518	0.358
25.826	0.608	0.415
26.426	0.507	0.37
27.027	0.603	0.24
27.628	0.46	0.166
28.228	0.437	0.168
28.829	0.486	0.23
29.429	0.44	0.308
30.03	0.456	0.319
30.631	0.498	0.256
31.231	0.482	0.193
31.832	0.386	0.179
32.432	0.426	0.194
33.033	0.497	0.235
33.634	0.492	0.296
34.234	0.461	0.321
34.835	0.503	0.274
35.435	0.559	0.218
36.036	0.495	0.224
36.637	0.465	0.265
37.237	0.516	0.286
37.838	0.512	0.29
38.438	0.378	0.264
39.039	0.518	0.192
39.64	0.401	0.175
40.24	0.482	0.203
40.841	0.507	0.272
41.441	0.38	0.324
42.042	0.519	0.275
42.643	0.514	0.216
43.243	0.397	0.197
43.844	0.547	0.2
44.444	0.506	0.272
45.045	0.437	0.336
45.646	0.515	0.306
46.246	0.522	0.239
46.847	0.496	0.203
47.447	0.47	0.217
48.048	0.444	0.255
48.649	0.576	0.281
49.249	0.483	0.312
49.85	0.564	0.298
50.45	0.559	0.277
51.051	0.516	0.267
51.652	0.551	0.264
52.252	0.446	0.275
52.853	0.634	0.264
53.453	0.613	0.303
54.054	0.383	0.345
54.655	0.619	0.281
55.255	0.531	0.237
55.856	0.406	0.23
56.456	0.44	0.215
57.057	0.411	0.208
57.658	0.503	0.215
58.258	0.523	0.261
58.859	0.514	0.318
59.459	0.531	0.328
60.06	0.583	0.296
60.661	0.497	0.265
61.261	0.458	0.23
61.862	0.53	0.211
62.462	0.496	0.245
63.063	0.481	0.29
63.664	0.559	0.303
64.264	0.569	0.302
64.865	0.476	0.29
65.465	0.536	0.249
66.066	0.537	0.233
66.667	0.453	0.255
67.267	0.567	0.27
67.868	0.544	0.302
68.468	0.576	0.321
69.069	0.57	0.319
69.67	0.462	0.294
70.27	0.467	0.223
70.871	0.488	0.172
71.471	0.338	0.19
72.072	0.363	0.204
72.673	0.458	0.21
73.273	0.408	0.237
73.874	0.362	0.243
74.474	0.46	0.208
75.075	0.444	0.195
75.676	0.499	0.221
76.276	0.512	0.282
76.877	0.345	0.317
77.477	0.495	0.245
78.078	0.379	0.17
78.679	0.396	0.129
79.279	0.5	0.164
79.88	0.408	0.276
80.48	0.548	0.342
81.081	0.572	0.352
81.682	0.549	0.309
82.282	0.632	0.252
82.883	0.531	0.258
83.483	0.567	0.29
84.084	0.555	0.324
84.685	0.525	0.323
85.285	0.609	0.283
85.886	0.59	0.27
86.486	0.586	0.292
87.087	0.637	0.329
87.688	0.642	0.367
88.288	0.631	0.378
88.889	0.664	0.344
89.489	0.675	0.311
90.09	0.585	0.311
90.691	0.759	0.323
91.291	0.7	0.391
91.892	0.808	0.445
92.492	0.823	0.47
93.093	0.683	0.451
93.694	0.692	0.352
94.294	0.688	0.259
94.895	0.675	0.255
95.495	0.671	0.341
96.096	0.701	0.437
96.697	0.696	0.466
97.297	0.625	0.398
97.898	0.617	0.268
98.498	0.627	0.191
99.099	0.666	0.241
99.7	0.703	0.386
100.3	0.733	0.511
100.901	0.765	0.518
101.502	0.751	0.417
102.102	0.71	0.296
102.703	0.58	0.238
103.303	0.689	0.253
103.904	0.642	0.355
104.505	0.624	0.443
105.105	0.569	0.417
105.706	0.685	0.292
106.306	0.584	0.213
106.907	0.586	0.225
107.508	0.557	0.312
108.108	0.573	0.379
108.709	0.569	0.373
109.309	0.543	0.297
109.91	0.514	0.208
110.511	0.443	0.175
111.111	0.45	0.199
111.712	0.479	0.257
112.312	0.412	0.302
112.913	0.46	0.272
113.514	0.527	0.213
114.114	0.485	0.207
114.715	0.487	0.246
115.315	0.545	0.295
115.916	0.562	0.335
116.517	0.505	0.33
117.117	0.554	0.269
117.718	0.568	0.226
118.318	0.51	0.243
118.919	0.552	0.287
119.52	0.522	0.326
120.12	0.518	0.318
120.721	0.577	0.27
121.321	0.507	0.242
121.922	0.526	0.241
122.523	0.62	0.275
123.123	0.484	0.339
123.724	0.629	0.343
124.324	0.488	0.312
124.925	0.527	0.244
125.526	0.438	0.197
126.126	0.409	0.181
126.727	0.613	0.207
127.327	0.528	0.32
127.928	0.634	0.404
