Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.901	0.055
1.201	0.704	0.424
1.802	0.498	0.747
2.402	0.835	0.648
3.003	0.638	0.324
3.604	0.621	0.023
4.204	0.563	-0.004
4.805	0.441	0.239
5.405	0.587	0.486
6.006	0.68	0.563
6.607	0.664	0.445
7.207	0.482	0.226
7.808	0.48	0.041
8.408	0.474	0.05
9.009	0.434	0.236
9.61	0.49	0.419
10.21	0.57	0.453
10.811	0.527	0.337
11.411	0.479	0.167
12.012	0.496	0.077
12.613	0.406	0.148
13.213	0.433	0.282
13.814	0.5	0.367
14.414	0.48	0.352
15.015	0.417	0.241
15.616	0.454	0.115
16.216	0.45	0.098
16.817	0.487	0.209
17.417	0.545	0.361
18.018	0.642	0.446
18.619	0.585	0.421
19.219	0.527	0.292
19.82	0.479	0.146
20.42	0.49	0.101
21.021	0.55	0.2
21.622	0.63	0.383
22.222	0.49	0.501
22.823	0.602	0.408
23.423	0.657	0.222
24.024	0.695	0.152
24.625	0.511	0.266
25.225	0.575	0.392
25.826	0.667	0.434
26.426	0.57	0.384
27.027	0.659	0.266
27.628	0.522	0.208
28.228	0.496	0.217
28.829	0.539	0.269
29.429	0.499	0.328
30.03	0.502	0.328
30.631	0.548	0.27
31.231	0.539	0.222
31.832	0.437	0.224
32.432	0.48	0.238
33.033	0.555	0.264
33.634	0.548	0.311
34.234	0.511	0.335
34.835	0.555	0.299
35.435	0.622	0.256
36.036	0.557	0.27
36.637	0.523	0.307
37.237	0.574	0.313
37.838	0.568	0.306
38.438	0.43	0.281
39.039	0.567	0.218
39.64	0.457	0.21
40.24	0.539	0.242
40.841	0.559	0.306
41.441	0.437	0.347
42.042	0.567	0.294
42.643	0.571	0.236
43.243	0.456	0.227
43.844	0.597	0.24
44.444	0.57	0.31
45.045	0.496	0.367
45.646	0.563	0.329
46.246	0.586	0.258
46.847	0.554	0.229
47.447	0.521	0.254
48.048	0.504	0.294
48.649	0.636	0.314
49.249	0.542	0.337
49.85	0.626	0.321
50.45	0.614	0.305
51.051	0.585	0.303
51.652	0.608	0.306
52.252	0.51	0.313
52.853	0.699	0.293
53.453	0.675	0.328
54.054	0.444	0.373
54.655	0.671	0.315
55.255	0.597	0.272
55.856	0.471	0.266
56.456	0.48	0.247
57.057	0.471	0.23
57.658	0.557	0.233
58.258	0.575	0.286
58.859	0.576	0.352
59.459	0.588	0.37
60.06	0.65	0.335
60.661	0.562	0.298
61.261	0.513	0.257
61.862	0.586	0.235
62.462	0.556	0.271
63.063	0.535	0.322
63.664	0.62	0.339
64.264	0.636	0.337
64.865	0.537	0.323
65.465	0.595	0.279
66.066	0.599	0.261
66.667	0.511	0.284
67.267	0.623	0.302
67.868	0.608	0.334
68.468	0.642	0.355
69.069	0.63	0.355
69.67	0.528	0.327
70.27	0.52	0.254
70.871	0.544	0.199
71.471	0.39	0.214
72.072	0.404	0.228
72.673	0.506	0.232
73.273	0.463	0.261
73.874	0.404	0.272
74.474	0.512	0.237
75.075	0.501	0.222
75.676	0.555	0.249
76.276	0.567	0.311
76.877	0.396	0.347
77.477	0.545	0.274
78.078	0.432	0.195
78.679	0.452	0.153
79.279	0.545	0.191
79.88	0.468	0.304
80.48	0.598	0.374
81.081	0.633	0.383
81.682	0.623	0.34
82.282	0.692	0.289
82.883	0.603	0.297
83.483	0.634	0.33
84.084	0.615	0.359
84.685	0.594	0.352
85.285	0.671	0.311
85.886	0.659	0.302
86.486	0.658	0.332
87.087	0.705	0.374
87.688	0.72	0.409
88.288	0.705	0.415
88.889	0.738	0.378
89.489	0.751	0.346
90.09	0.66	0.352
90.691	0.836	0.368
91.291	0.783	0.436
91.892	0.899	0.489
92.492	0.905	0.515
93.093	0.776	0.496
93.694	0.768	0.399
94.294	0.771	0.302
94.895	0.76	0.294
95.495	0.744	0.38
96.096	0.779	0.476
96.697	0.774	0.506
97.297	0.702	0.439
97.898	0.693	0.31
98.498	0.704	0.232
99.099	0.744	0.28
99.7	0.776	0.425
100.3	0.814	0.549
100.901	0.847	0.559
101.502	0.839	0.462
102.102	0.797	0.346
102.703	0.662	0.288
103.303	0.764	0.296
103.904	0.719	0.388
104.505	0.695	0.472
105.105	0.633	0.449
105.706	0.762	0.33
106.306	0.661	0.257
106.907	0.658	0.272
107.508	0.624	0.353
108.108	0.642	0.409
108.709	0.629	0.396
109.309	0.612	0.322
109.91	0.573	0.244
110.511	0.505	0.217
111.111	0.508	0.238
111.712	0.536	0.286
112.312	0.465	0.32
112.913	0.511	0.289
113.514	0.584	0.238
114.114	0.548	0.244
114.715	0.546	0.291
115.315	0.608	0.335
115.916	0.629	0.364
116.517	0.565	0.353
117.117	0.614	0.293
117.718	0.634	0.258
118.318	0.574	0.285
118.919	0.616	0.33
119.52	0.586	0.362
120.12	0.582	0.344
120.721	0.637	0.293
121.321	0.572	0.27
121.922	0.587	0.279
122.523	0.686	0.318
123.123	0.552	0.379
123.724	0.695	0.375
124.324	0.55	0.339
124.925	0.593	0.27
125.526	0.49	0.23
126.126	0.469	0.215
126.727	0.673	0.24
127.327	0.595	0.35
127.928	0.701	0.436
128.529	0.693	0.448
129.129	0.724	0.383
129.73	0.789	0.315
130.33	0.741	0.332
130.931	0.67	0.397
131.532	0.772	0.428
132.132	0.744	0.433
132.733	0.601	0.389
