Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.655	0.037
1.201	0.455	0.305
1.802	0.211	0.512
2.402	0.599	0.383
3.003	0.203	0.145
3.604	0.345	-0.096
4.204	0.375	-0.089
4.805	0.111	0.162
5.405	0.449	0.349
6.006	0.402	0.407
6.607	0.315	0.285
7.207	0.244	0.051
7.808	0.161	-0.113
8.408	0.243	-0.085
9.009	0.212	0.129
9.61	0.249	0.33
10.21	0.348	0.35
10.811	0.237	0.203
11.411	0.195	-0.01
12.012	0.253	-0.115
12.613	0.131	-0.003
13.213	0.215	0.184
13.814	0.302	0.305
14.414	0.193	0.281
15.015	0.192	0.098
15.616	0.182	-0.083
16.216	0.168	-0.101
16.817	0.269	0.061
17.417	0.308	0.291
18.018	0.416	0.406
18.619	0.34	0.338
19.219	0.223	0.122
19.82	0.212	-0.094
20.42	0.206	-0.121
21.021	0.305	0.068
21.622	0.438	0.345
22.222	0.214	0.492
22.823	0.38	0.311
23.423	0.381	0.014
24.024	0.385	-0.105
24.625	0.25	0.052
25.225	0.323	0.289
25.826	0.46	0.418
26.426	0.28	0.363
27.027	0.44	0.13
27.628	0.217	-0.033
28.228	0.191	-0.047
28.829	0.33	0.083
29.429	0.204	0.28
30.03	0.299	0.331
30.631	0.332	0.217
31.231	0.241	0.055
31.832	0.184	-0.039
32.432	0.202	-0.005
33.033	0.298	0.133
33.634	0.325	0.289
34.234	0.267	0.33
34.835	0.328	0.202
35.435	0.357	0.045
36.036	0.257	0.012
36.637	0.258	0.099
37.237	0.327	0.218
37.838	0.332	0.292
38.438	0.169	0.245
39.039	0.357	0.074
39.64	0.156	-0.018
40.24	0.266	0.002
40.841	0.342	0.145
41.441	0.128	0.3
42.042	0.391	0.267
42.643	0.324	0.159
43.243	0.13	0.052
43.844	0.415	-0.015
44.444	0.251	0.107
45.045	0.212	0.259
45.646	0.399	0.283
46.246	0.275	0.223
46.847	0.318	0.101
47.447	0.281	0.033
48.048	0.171	0.064
48.649	0.429	0.139
49.249	0.258	0.267
49.85	0.37	0.289
50.45	0.431	0.221
51.051	0.239	0.142
51.652	0.393	0.068
52.252	0.194	0.101
52.853	0.436	0.158
53.453	0.483	0.269
54.054	0.097	0.339
54.655	0.514	0.19
55.255	0.305	0.079
55.856	0.098	0.045
56.456	0.338	0.041
57.057	0.122	0.134
57.658	0.34	0.187
58.258	0.398	0.222
58.859	0.24	0.233
59.459	0.384	0.16
60.06	0.359	0.118
60.661	0.233	0.135
61.261	0.304	0.149
61.862	0.322	0.17
62.462	0.297	0.186
63.063	0.308	0.172
63.664	0.331	0.149
64.264	0.372	0.149
