Mean Speed	Mean Blade Disp	Std_Dev Blade Disp	Mean Tower Disp	Std_Dev Tower Disp
4.000	0.133	0.038	0.069	0.027
5.000	0.207	0.059	0.108	0.041
6.000	0.293	0.084	0.153	0.057
7.000	0.378	0.109	0.197	0.074
8.000	0.468	0.135	0.244	0.092
9.000	0.592	0.171	0.309	0.115
10.000	0.730	0.211	0.381	0.140
11.000	0.884	0.254	0.461	0.167
12.000	0.745	0.218	0.389	0.152
13.000	0.635	0.190	0.331	0.141
14.000	0.568	0.173	0.296	0.135
15.000	0.522	0.162	0.273	0.133
16.000	0.484	0.153	0.253	0.131
17.000	0.453	0.146	0.237	0.130
18.000	0.430	0.141	0.224	0.129
19.000	0.408	0.136	0.213	0.129
20.000	0.391	0.133	0.204	0.129
21.000	0.375	0.130	0.196	0.129
22.000	0.364	0.128	0.190	0.130
23.000	0.351	0.126	0.183	0.130
24.000	0.341	0.125	0.178	0.131
25.000	0.330	0.123	0.172	0.131
