Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.617	0.036
1.201	0.432	0.288
1.802	0.233	0.484
2.402	0.604	0.378
3.003	0.235	0.172
3.604	0.355	-0.049
4.204	0.386	-0.06
4.805	0.161	0.154
5.405	0.45	0.331
6.006	0.408	0.399
6.607	0.336	0.297
7.207	0.306	0.084
7.808	0.21	-0.062
8.408	0.276	-0.041
9.009	0.267	0.145
9.61	0.282	0.327
10.21	0.378	0.347
10.811	0.29	0.22
11.411	0.245	0.033
12.012	0.291	-0.061
12.613	0.195	0.033
13.213	0.261	0.197
13.814	0.334	0.306
14.414	0.258	0.287
15.015	0.247	0.131
15.616	0.24	-0.026
16.216	0.226	-0.044
16.817	0.296	0.091
17.417	0.334	0.281
18.018	0.417	0.376
18.619	0.357	0.318
19.219	0.29	0.14
19.82	0.253	-0.027
20.42	0.253	-0.045
21.021	0.335	0.104
21.622	0.414	0.32
22.222	0.28	0.425
22.823	0.384	0.288
23.423	0.377	0.062
24.024	0.386	-0.034
24.625	0.284	0.082
25.225	0.342	0.265
25.826	0.441	0.37
26.426	0.319	0.332
27.027	0.424	0.156
27.628	0.271	0.026
28.228	0.246	0.011
28.829	0.341	0.11
29.429	0.264	0.262
30.03	0.324	0.308
30.631	0.352	0.224
31.231	0.291	0.098
31.832	0.237	0.022
32.432	0.256	0.044
33.033	0.323	0.15
33.634	0.342	0.271
34.234	0.309	0.304
34.835	0.347	0.209
35.435	0.366	0.088
36.036	0.297	0.058
36.637	0.293	0.122
37.237	0.345	0.214
37.838	0.351	0.273
38.438	0.235	0.242
39.039	0.369	0.115
39.64	0.224	0.042
40.24	0.301	0.053
40.841	0.354	0.158
41.441	0.206	0.274
42.042	0.39	0.256
42.643	0.347	0.178
43.243	0.21	0.096
43.844	0.402	0.045
44.444	0.294	0.129
45.045	0.264	0.24
45.646	0.391	0.263
46.246	0.317	0.222
46.847	0.339	0.135
47.447	0.312	0.084
48.048	0.241	0.101
48.649	0.41	0.154
49.249	0.299	0.246
49.85	0.378	0.266
50.45	0.414	0.22
51.051	0.292	0.162
51.652	0.386	0.108
52.252	0.255	0.128
52.853	0.422	0.169
53.453	0.447	0.249
54.054	0.195	0.299
54.655	0.471	0.198
55.255	0.331	0.118
55.856	0.194	0.091
56.456	0.339	0.089
57.057	0.209	0.151
57.658	0.354	0.19
58.258	0.387	0.218
58.859	0.296	0.226
59.459	0.38	0.176
60.06	0.368	0.144
60.661	0.286	0.152
61.261	0.322	0.163
61.862	0.346	0.179
62.462	0.326	0.192
63.063	0.329	0.185
63.664	0.354	0.166
64.264	0.374	0.164
64.865	0.292	0.184
65.465	0.358	0.184
66.066	0.366	0.183
66.667	0.277	0.183
67.267	0.397	0.159
67.868	0.347	0.171
68.468	0.365	0.196
69.069	0.402	0.217
69.67	0.266	0.223
70.27	0.318	0.159
70.871	0.327	0.1
71.471	0.171	0.098
72.072	0.247	0.101
72.673	0.297	0.129
73.273	0.24	0.177
73.874	0.251	0.182
74.474	0.294	0.143
75.075	0.278	0.11
75.676	0.336	0.114
