Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.376	0.023
1.201	0.294	0.178
1.802	0.226	0.312
2.402	0.384	0.279
3.003	0.289	0.16
3.604	0.279	0.039
4.204	0.267	0.015
4.805	0.224	0.104
5.405	0.276	0.209
6.006	0.305	0.252
6.607	0.303	0.208
7.207	0.267	0.117
7.808	0.249	0.048
8.408	0.241	0.055
9.009	0.238	0.127
9.61	0.258	0.198
10.21	0.282	0.21
10.811	0.274	0.163
11.411	0.257	0.098
12.012	0.251	0.066
12.613	0.232	0.094
13.213	0.242	0.147
13.814	0.261	0.182
14.414	0.262	0.174
15.015	0.247	0.131
15.616	0.248	0.088
16.216	0.243	0.082
16.817	0.25	0.118
17.417	0.266	0.166
18.018	0.289	0.189
18.619	0.28	0.175
19.219	0.265	0.135
19.82	0.252	0.098
20.42	0.251	0.093
21.021	0.266	0.124
21.622	0.283	0.169
22.222	0.26	0.192
22.823	0.281	0.166
23.423	0.288	0.12
24.024	0.291	0.103
24.625	0.258	0.13
25.225	0.272	0.163
25.826	0.29	0.177
26.426	0.275	0.165
27.027	0.289	0.136
27.628	0.262	0.118
28.228	0.256	0.119
28.829	0.264	0.134
29.429	0.258	0.152
30.03	0.26	0.154
30.631	0.269	0.14
31.231	0.266	0.125
31.832	0.246	0.122
32.432	0.253	0.126
33.033	0.267	0.136
33.634	0.267	0.148
34.234	0.261	0.153
34.835	0.269	0.143
35.435	0.281	0.131
36.036	0.268	0.133
36.637	0.262	0.141
37.237	0.271	0.146
37.838	0.271	0.146
38.438	0.246	0.141
39.039	0.271	0.126
39.64	0.25	0.123
40.24	0.265	0.129
40.841	0.268	0.143
41.441	0.247	0.152
42.042	0.271	0.143
42.643	0.272	0.131
43.243	0.251	0.128
43.844	0.276	0.129
44.444	0.271	0.143
45.045	0.258	0.155
45.646	0.27	0.149
46.246	0.275	0.136
46.847	0.269	0.129
47.447	0.263	0.133
48.048	0.259	0.14
48.649	0.284	0.144
49.249	0.267	0.15
49.85	0.282	0.147
50.45	0.281	0.144
51.051	0.275	0.143
51.652	0.279	0.143
52.252	0.261	0.144
52.853	0.295	0.141
53.453	0.291	0.148
54.054	0.25	0.157
54.655	0.291	0.146
55.255	0.277	0.137
55.856	0.254	0.136
56.456	0.255	0.132
57.057	0.254	0.129
57.658	0.27	0.13
58.258	0.273	0.14
58.859	0.274	0.152
59.459	0.276	0.156
60.06	0.287	0.149
60.661	0.271	0.142
61.261	0.262	0.135
61.862	0.275	0.131
62.462	0.27	0.137
63.063	0.266	0.147
63.664	0.282	0.15
64.264	0.285	0.15
64.865	0.267	0.147
65.465	0.277	0.139
66.066	0.278	0.136
66.667	0.262	0.14
67.267	0.282	0.143
67.868	0.28	0.149
68.468	0.286	0.153
69.069	0.283	0.153
69.67	0.265	0.148
70.27	0.263	0.134
70.871	0.268	0.124
71.471	0.239	0.127
72.072	0.24	0.129
72.673	0.26	0.129
73.273	0.253	0.134
73.874	0.24	0.137
74.474	0.261	0.131
75.075	0.26	0.129
75.676	0.27	0.134
76.276	0.272	0.145
76.877	0.241	0.151
77.477	0.268	0.138
78.078	0.248	0.123
78.679	0.252	0.116
79.279	0.269	0.123
79.88	0.256	0.145
80.48	0.28	0.157
81.081	0.286	0.159
81.682	0.285	0.151
82.282	0.297	0.142
82.883	0.282	0.143
83.483	0.287	0.15
84.084	0.284	0.155
84.685	0.281	0.154
85.285	0.295	0.147
85.886	0.293	0.145
86.486	0.293	0.151
87.087	0.302	0.158
87.688	0.304	0.165
88.288	0.302	0.166
88.889	0.308	0.16
89.489	0.311	0.154
90.09	0.295	0.155
90.691	0.326	0.158
91.291	0.316	0.17
91.892	0.336	0.18
92.492	0.338	0.184
93.093	0.315	0.18
93.694	0.315	0.163
94.294	0.315	0.147
94.895	0.313	0.146
95.495	0.311	0.161
96.096	0.317	0.178
96.697	0.315	0.182
97.297	0.303	0.17
97.898	0.301	0.148
98.498	0.303	0.135
99.099	0.31	0.143
99.7	0.316	0.169
100.3	0.322	0.19
100.901	0.328	0.192
101.502	0.326	0.174
102.102	0.318	0.153
102.703	0.295	0.143
103.303	0.313	0.145
103.904	0.305	0.162
104.505	0.301	0.177
105.105	0.29	0.172
105.706	0.312	0.151
106.306	0.294	0.137
106.907	0.293	0.14
107.508	0.287	0.155
108.108	0.29	0.165
108.709	0.288	0.163
109.309	0.285	0.149
109.91	0.277	0.135
110.511	0.265	0.13
111.111	0.265	0.133
111.712	0.27	0.142
112.312	0.256	0.148
112.913	0.265	0.142
113.514	0.279	0.133
114.114	0.272	0.134
114.715	0.272	0.143
115.315	0.283	0.151
115.916	0.287	0.156
116.517	0.275	0.154
117.117	0.284	0.143
117.718	0.288	0.137
118.318	0.277	0.142
118.919	0.285	0.15
119.52	0.279	0.156
120.12	0.279	0.153
120.721	0.288	0.143
121.321	0.277	0.139
121.922	0.279	0.141
122.523	0.297	0.148
123.123	0.273	0.159
123.724	0.299	0.158
124.324	0.273	0.152
124.925	0.28	0.139
125.526	0.261	0.132
126.126	0.258	0.129
126.727	0.295	0.134
127.327	0.281	0.154
127.928	0.3	0.17
128.529	0.299	0.172
129.129	0.305	0.16
129.73	0.316	0.148
130.33	0.307	0.15
130.931	0.295	0.162
131.532	0.313	0.168
132.132	0.308	0.169
132.733	0.284	0.161
133.333	0.305	0.144
133.934	0.294	0.139
134.535	0.298	0.148
135.135	0.305	0.165
135.736	0.296	0.176
136.336	0.318	0.169
136.937	0.305	0.157
137.538	0.283	0.147
138.138	0.293	0.14
138.739	0.289	0.144
139.339	0.291	0.155
