Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.668	0.039
1.201	0.476	0.312
1.802	0.275	0.529
2.402	0.644	0.422
3.003	0.296	0.195
3.604	0.394	-0.041
4.204	0.41	-0.055
4.805	0.212	0.166
5.405	0.468	0.359
6.006	0.452	0.43
6.607	0.396	0.323
7.207	0.322	0.107
7.808	0.261	-0.051
8.408	0.304	-0.03
9.009	0.287	0.16
9.61	0.325	0.343
10.21	0.402	0.369
10.811	0.33	0.241
11.411	0.287	0.053
12.012	0.316	-0.042
12.613	0.232	0.047
13.213	0.287	0.21
13.814	0.358	0.319
14.414	0.297	0.3
15.015	0.274	0.15
15.616	0.275	-0.004
16.216	0.263	-0.024
16.817	0.322	0.108
17.417	0.37	0.294
18.018	0.45	0.389
18.619	0.395	0.336
19.219	0.32	0.164
19.82	0.291	-0.003
20.42	0.292	-0.025
21.021	0.362	0.119
21.622	0.452	0.331
22.222	0.314	0.44
22.823	0.418	0.309
23.423	0.426	0.087
24.024	0.433	-0.005
24.625	0.318	0.11
25.225	0.382	0.284
25.826	0.474	0.381
26.426	0.36	0.341
27.027	0.464	0.175
27.628	0.309	0.056
28.228	0.289	0.043
28.829	0.368	0.135
29.429	0.301	0.271
30.03	0.353	0.309
30.631	0.381	0.231
31.231	0.335	0.119
31.832	0.268	0.058
32.432	0.293	0.077
33.033	0.361	0.167
33.634	0.37	0.275
34.234	0.344	0.305
34.835	0.38	0.223
35.435	0.407	0.118
36.036	0.341	0.096
36.637	0.327	0.154
37.237	0.381	0.227
37.838	0.384	0.273
38.438	0.265	0.244
39.039	0.401	0.132
39.64	0.263	0.074
40.24	0.34	0.089
40.841	0.384	0.183
41.441	0.244	0.28
42.042	0.416	0.255
42.643	0.381	0.184
43.243	0.253	0.12
43.844	0.431	0.084
44.444	0.342	0.163
45.045	0.3	0.26
45.646	0.413	0.267
46.246	0.364	0.219
46.847	0.369	0.149
47.447	0.347	0.116
48.048	0.289	0.14
48.649	0.441	0.185
49.249	0.34	0.257
49.85	0.416	0.266
50.45	0.44	0.228
51.051	0.344	0.184
51.652	0.419	0.147
52.252	0.297	0.165
52.853	0.469	0.19
53.453	0.476	0.257
54.054	0.238	0.302
54.655	0.5	0.212
55.255	0.373	0.146
55.856	0.244	0.127
56.456	0.356	0.121
57.057	0.256	0.162
57.658	0.384	0.19
58.258	0.412	0.222
58.859	0.348	0.244
59.459	0.407	0.214
60.06	0.417	0.182
60.661	0.333	0.179
61.261	0.343	0.175
61.862	0.389	0.178
62.462	0.359	0.199
63.063	0.359	0.209
63.664	0.405	0.201
64.264	0.412	0.2
64.865	0.332	0.207
65.465	0.397	0.192
66.066	0.397	0.187
66.667	0.317	0.195
67.267	0.432	0.186
67.868	0.389	0.206
68.468	0.412	0.227
69.069	0.434	0.238
69.67	0.308	0.231
70.27	0.348	0.166
70.871	0.358	0.115
71.471	0.211	0.122
72.072	0.27	0.13
72.673	0.334	0.148
73.273	0.276	0.186
73.874	0.27	0.189
74.474	0.332	0.152
75.075	0.312	0.129
75.676	0.37	0.143
76.276	0.373	0.2
76.877	0.224	0.242
77.477	0.376	0.186
78.078	0.257	0.125
78.679	0.266	0.079
79.279	0.394	0.096
79.88	0.256	0.197
80.48	0.423	0.257
81.081	0.425	0.275
81.682	0.37	0.24
82.282	0.494	0.173
82.883	0.356	0.17
83.483	0.409	0.194
84.084	0.416	0.231
84.685	0.349	0.251
85.285	0.467	0.217
85.886	0.422	0.199
86.486	0.411	0.202
87.087	0.483	0.221
87.688	0.447	0.263
88.288	0.46	0.282
88.889	0.487	0.262
89.489	0.485	0.233
90.09	0.413	0.219
90.691	0.572	0.217
91.291	0.5	0.279
91.892	0.594	0.333
92.492	0.63	0.361
93.093	0.456	0.349
93.694	0.518	0.247
94.294	0.489	0.159
94.895	0.469	0.159
95.495	0.506	0.241
96.096	0.505	0.341
96.697	0.512	0.371
97.297	0.444	0.301
97.898	0.43	0.172
98.498	0.448	0.094
99.099	0.478	0.145
99.7	0.52	0.291
100.3	0.545	0.415
100.901	0.568	0.42
101.502	0.541	0.311
102.102	0.508	0.179
102.703	0.39	0.121
103.303	0.51	0.152
103.904	0.465	0.277
104.505	0.454	0.374
105.105	0.419	0.34
105.706	0.498	0.203
106.306	0.401	0.106
106.907	0.418	0.112
107.508	0.4	0.215
108.108	0.411	0.311
108.709	0.429	0.32
109.309	0.382	0.237
109.91	0.369	0.122
110.511	0.295	0.07
111.111	0.311	0.101
111.712	0.347	0.19
112.312	0.287	0.263
112.913	0.341	0.238
113.514	0.388	0.157
114.114	0.33	0.114
114.715	0.346	0.129
115.315	0.392	0.193
115.916	0.403	0.268
116.517	0.368	0.285
117.117	0.41	0.22
117.718	0.408	0.148
118.318	0.356	0.133
118.919	0.396	0.171
119.52	0.371	0.237
120.12	0.369	0.265
120.721	0.436	0.229
121.321	0.355	0.184
121.922	0.377	0.146
122.523	0.46	0.159
123.123	0.317	0.233
123.724	0.478	0.264
124.324	0.346	0.261
124.925	0.368	0.197
125.526	0.327	0.125
126.126	0.254	0.091
126.727	0.469	0.112
127.327	0.369	0.236
127.928	0.465	0.332
128.529	0.482	0.339
129.129	0.447	0.263
129.73	0.536	0.167
130.33	0.472	0.168
130.931	0.406	0.239
131.532	0.544	0.297
132.132	0.473	0.334
132.733	0.371	0.288
133.333	0.507	0.169
133.934	0.39	0.123
134.535	0.449	0.163
135.135	0.498	0.268
135.736	0.414	0.357
136.336	0.566	0.329
136.937	0.469	0.255
137.538	0.351	0.171
138.138	0.455	0.112
138.739	0.384	0.159
139.339	0.426	0.252
139.94	0.415	0.313
140.541	0.406	0.284
141.141	0.451	0.191
141.742	0.37	0.133
142.342	0.445	0.14
142.943	0.452	0.227
143.544	0.386	0.319
144.144	0.471	0.311
144.745	0.387	0.234
145.345	0.402	0.134
145.946	0.341	0.099
146.547	0.279	0.136
147.147	0.412	0.194
147.748	0.342	0.259
148.348	0.331	0.254
148.949	0.366	0.175
149.55	0.247	0.104
150.15	0.216	0.062
150.751	0.356	0.075
151.351	0.304	0.18
151.952	0.316	0.268
152.553	0.386	0.263
153.153	0.396	0.2
153.754	0.332	0.14
154.354	0.324	0.113
154.955	0.359	0.14
155.556	0.29	0.205
156.156	0.358	0.228
156.757	0.38	0.209
157.357	0.397	0.181
157.958	0.407	0.176
158.559	0.383	0.204
159.159	0.371	0.23
159.76	0.351	0.22
160.36	0.343	0.176
160.961	0.379	0.136
161.562	0.419	0.152
162.162	0.356	0.222
162.763	0.415	0.265
163.363	0.374	0.258
163.964	0.348	0.192
164.565	0.398	0.122
165.165	0.311	0.123
165.766	0.409	0.171
166.366	0.367	0.251
166.967	0.26	0.272
167.568	0.362	0.179
168.168	0.248	0.085
168.769	0.227	0.039
169.369	0.414	0.076
169.97	0.408	0.232
170.571	0.404	0.37
171.171	0.472	0.363
171.772	0.409	0.243
172.372	0.359	0.097
172.973	0.298	0.033
173.574	0.372	0.09
174.174	0.301	0.233
174.775	0.294	0.309
175.375	0.406	0.247
175.976	0.302	0.142
176.577	0.258	0.055
177.177	0.311	0.047
177.778	0.305	0.14
178.378	0.437	0.258
178.979	0.383	0.336
179.58	0.492	0.299
180.18	0.448	0.214
180.781	0.403	0.146
181.381	0.459	0.143
181.982	0.359	0.22
182.583	0.39	0.273
183.183	0.436	0.262
183.784	0.368	0.213
184.384	0.433	0.153
184.985	0.298	0.148
185.586	0.371	0.163
186.186	0.34	0.199
186.787	0.295	0.216
187.387	0.372	0.18
187.988	0.369	0.154
188.589	0.266	0.158
189.189	0.403	0.158
189.79	0.352	0.195
190.39	0.289	0.22
190.991	0.437	0.193
191.592	0.364	0.186
192.192	0.432	0.193
192.793	0.406	0.226
193.393	0.345	0.246
193.994	0.416	0.212
194.595	0.395	0.179
195.195	0.448	0.177
195.796	0.4	0.221
196.396	0.388	0.254
196.997	0.405	0.242
197.598	0.307	0.196
198.198	0.386	0.128
198.799	0.352	0.12
199.399	0.461	0.181
200.0	0.435	0.29
200.601	0.378	0.339
201.201	0.495	0.268
201.802	0.413	0.177
202.402	0.322	0.121
203.003	0.337	0.113
203.604	0.377	0.165
204.204	0.296	0.239
204.805	0.32	0.242
205.405	0.353	0.174
