Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.686	0.039
1.201	0.481	0.32
1.802	0.235	0.539
2.402	0.622	0.409
3.003	0.234	0.157
3.604	0.372	-0.094
4.204	0.385	-0.088
4.805	0.139	0.169
5.405	0.459	0.367
6.006	0.426	0.426
6.607	0.349	0.299
7.207	0.25	0.062
7.808	0.188	-0.109
8.408	0.256	-0.081
9.009	0.22	0.137
9.61	0.271	0.339
10.21	0.359	0.362
10.811	0.259	0.213
11.411	0.216	-0.001
12.012	0.264	-0.106
12.613	0.151	0.004
13.213	0.227	0.191
13.814	0.306	0.312
14.414	0.218	0.286
15.015	0.201	0.105
15.616	0.196	-0.074
16.216	0.193	-0.092
16.817	0.276	0.072
17.417	0.327	0.298
18.018	0.44	0.412
18.619	0.352	0.348
19.219	0.251	0.134
19.82	0.23	-0.079
20.42	0.22	-0.107
21.021	0.328	0.075
21.622	0.455	0.35
22.222	0.231	0.498
22.823	0.4	0.321
23.423	0.404	0.029
24.024	0.416	-0.088
24.625	0.267	0.069
25.225	0.34	0.3
25.826	0.482	0.422
26.426	0.302	0.366
27.027	0.46	0.14
27.628	0.24	-0.015
28.228	0.214	-0.027
28.829	0.341	0.097
29.429	0.226	0.281
30.03	0.309	0.328
30.631	0.345	0.218
31.231	0.268	0.067
31.832	0.195	-0.017
32.432	0.223	0.014
33.033	0.318	0.141
33.634	0.335	0.288
34.234	0.287	0.327
34.835	0.343	0.208
35.435	0.379	0.062
36.036	0.284	0.036
36.637	0.273	0.119
37.237	0.348	0.223
37.838	0.349	0.288
38.438	0.18	0.243
39.039	0.376	0.082
39.64	0.174	0.001
40.24	0.287	0.024
40.841	0.359	0.159
41.441	0.144	0.301
42.042	0.403	0.263
42.643	0.342	0.159
43.243	0.152	0.064
43.844	0.43	0.009
44.444	0.278	0.129
45.045	0.23	0.27
45.646	0.407	0.282
46.246	0.301	0.216
46.847	0.334	0.106
47.447	0.297	0.053
48.048	0.2	0.089
