Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.414	0.025
1.201	0.322	0.195
1.802	0.22	0.342
2.402	0.371	0.293
3.003	0.275	0.139
3.604	0.275	-0.004
4.204	0.244	-0.012
4.805	0.183	0.105
5.405	0.256	0.22
6.006	0.299	0.253
6.607	0.287	0.195
7.207	0.193	0.091
7.808	0.197	0.002
8.408	0.194	0.006
9.009	0.172	0.096
9.61	0.202	0.183
10.21	0.238	0.199
10.811	0.215	0.143
11.411	0.192	0.06
12.012	0.201	0.016
12.613	0.156	0.05
13.213	0.17	0.116
13.814	0.203	0.157
14.414	0.19	0.15
15.015	0.16	0.095
15.616	0.179	0.033
16.216	0.177	0.024
16.817	0.196	0.079
17.417	0.227	0.156
18.018	0.275	0.2
18.619	0.246	0.188
19.219	0.216	0.122
19.82	0.193	0.047
20.42	0.197	0.023
21.021	0.23	0.074
21.622	0.272	0.169
22.222	0.197	0.231
22.823	0.257	0.183
23.423	0.284	0.086
24.024	0.305	0.05
24.625	0.21	0.108
25.225	0.242	0.174
25.826	0.291	0.196
26.426	0.238	0.171
27.027	0.286	0.109
27.628	0.213	0.077
28.228	0.2	0.081
28.829	0.224	0.109
29.429	0.2	0.141
30.03	0.204	0.142
30.631	0.227	0.111
31.231	0.221	0.085
31.832	0.17	0.085
32.432	0.192	0.092
33.033	0.23	0.107
33.634	0.226	0.133
34.234	0.208	0.145
34.835	0.231	0.125
35.435	0.264	0.102
36.036	0.231	0.108
36.637	0.214	0.128
37.237	0.24	0.133
37.838	0.237	0.13
38.438	0.165	0.117
39.039	0.238	0.083
39.64	0.179	0.078
40.24	0.222	0.095
40.841	0.233	0.128
41.441	0.169	0.151
42.042	0.238	0.123
42.643	0.238	0.094
43.243	0.179	0.088
43.844	0.254	0.094
44.444	0.238	0.131
45.045	0.2	0.161
45.646	0.237	0.142
46.246	0.247	0.105
46.847	0.231	0.09
47.447	0.215	0.102
48.048	0.205	0.122
48.649	0.274	0.134
49.249	0.226	0.147
49.85	0.27	0.139
50.45	0.264	0.13
51.051	0.248	0.128
51.652	0.261	0.129
52.252	0.208	0.133
52.853	0.309	0.124
53.453	0.296	0.143
54.054	0.175	0.166
54.655	0.295	0.135
55.255	0.254	0.112
55.856	0.188	0.108
56.456	0.197	0.099
57.057	0.189	0.091
57.658	0.234	0.094
58.258	0.245	0.121
58.859	0.244	0.154
59.459	0.251	0.163
60.06	0.283	0.145
60.661	0.236	0.126
61.261	0.212	0.105
61.862	0.251	0.094
62.462	0.234	0.113
63.063	0.224	0.139
63.664	0.268	0.148
64.264	0.276	0.147
64.865	0.225	0.14
65.465	0.255	0.117
66.066	0.257	0.108
66.667	0.212	0.12
67.267	0.271	0.129
67.868	0.262	0.146
68.468	0.28	0.156
69.069	0.273	0.156
69.67	0.219	0.142
70.27	0.216	0.103
70.871	0.228	0.074
71.471	0.148	0.082
72.072	0.157	0.09
72.673	0.209	0.094
73.273	0.186	0.109
73.874	0.158	0.113
74.474	0.212	0.094
75.075	0.206	0.087
75.676	0.235	0.101
76.276	0.242	0.134
76.877	0.153	0.154
77.477	0.232	0.115
78.078	0.173	0.074
78.679	0.183	0.052
79.279	0.234	0.072
79.88	0.193	0.132
80.48	0.264	0.169
81.081	0.281	0.175
81.682	0.276	0.153
82.282	0.316	0.126
82.883	0.268	0.131
83.483	0.285	0.148
84.084	0.276	0.164
84.685	0.265	0.161
85.285	0.308	0.14
85.886	0.302	0.135
86.486	0.302	0.152
87.087	0.328	0.174
87.688	0.337	0.194
88.288	0.329	0.197
88.889	0.349	0.178
89.489	0.356	0.162
90.09	0.309	0.165
90.691	0.404	0.174
91.291	0.376	0.211
91.892	0.441	0.24
92.492	0.443	0.255
93.093	0.374	0.245
93.694	0.369	0.192
94.294	0.372	0.139
94.895	0.365	0.134
95.495	0.356	0.181
96.096	0.375	0.233
96.697	0.372	0.25
97.297	0.333	0.214
97.898	0.328	0.144
98.498	0.334	0.1
99.099	0.356	0.126
99.7	0.373	0.205
100.3	0.394	0.273
100.901	0.412	0.279
101.502	0.408	0.226
102.102	0.384	0.163
102.703	0.31	0.13
103.303	0.365	0.134
103.904	0.339	0.184
104.505	0.325	0.229
105.105	0.292	0.217
105.706	0.361	0.152
106.306	0.307	0.112
106.907	0.303	0.119
107.508	0.284	0.163
108.108	0.294	0.193
108.709	0.286	0.186
109.309	0.276	0.146
109.91	0.255	0.103
110.511	0.218	0.088
111.111	0.219	0.099
111.712	0.234	0.126
112.312	0.197	0.145
112.913	0.221	0.128
113.514	0.259	0.1
114.114	0.24	0.102
114.715	0.239	0.126
115.315	0.272	0.151
115.916	0.283	0.167
116.517	0.249	0.162
117.117	0.275	0.13
117.718	0.286	0.111
118.318	0.254	0.124
118.919	0.277	0.148
119.52	0.26	0.166
120.12	0.258	0.157
120.721	0.288	0.13
121.321	0.253	0.117
121.922	0.261	0.121
122.523	0.315	0.142
123.123	0.242	0.175
123.724	0.318	0.173
124.324	0.242	0.154
124.925	0.264	0.117
125.526	0.21	0.095
126.126	0.199	0.088
126.727	0.308	0.102
127.327	0.267	0.161
127.928	0.324	0.207
128.529	0.32	0.213
129.129	0.337	0.179
129.73	0.373	0.142
130.33	0.348	0.152
130.931	0.309	0.188
131.532	0.364	0.204
132.132	0.349	0.205
132.733	0.272	0.182
133.333	0.338	0.13
133.934	0.305	0.115
134.535	0.319	0.144
135.135	0.339	0.195
135.736	0.313	0.226
136.336	0.378	0.204
136.937	0.338	0.17
137.538	0.273	0.14
138.138	0.3	0.118
138.739	0.292	0.131
139.339	0.296	0.165
139.94	0.271	0.187
140.541	0.292	0.169
141.141	0.302	0.135
141.742	0.271	0.119
142.342	0.312	0.129
142.943	0.308	0.166
143.544	0.277	0.198
144.144	0.307	0.184
144.745	0.267	0.144
145.345	0.284	0.104
145.946	0.223	0.1
146.547	0.207	0.113
147.147	0.257	0.126
147.748	0.23	0.142
148.348	0.216	0.139
148.949	0.225	0.111
149.55	0.177	0.088
150.15	0.144	0.07
150.751	0.22	0.062
151.351	0.207	0.098
151.952	0.192	0.143
152.553	0.235	0.15
153.153	0.27	0.133
153.754	0.222	0.119
154.354	0.218	0.104
154.955	0.238	0.1
155.556	0.191	0.114
156.156	0.221	0.12
156.757	0.242	0.12
157.357	0.265	0.127
157.958	0.269	0.143
158.559	0.262	0.157
159.159	0.25	0.153
159.76	0.228	0.127
160.36	0.224	0.094
160.961	0.244	0.082
161.562	0.273	0.112
162.162	0.242	0.165
162.763	0.272	0.185
163.363	0.248	0.163
163.964	0.239	0.11
164.565	0.247	0.072
165.165	0.215	0.085
165.766	0.259	0.127
166.366	0.237	0.173
166.967	0.184	0.172
167.568	0.218	0.106
168.168	0.169	0.043
168.769	0.15	0.025
169.369	0.245	0.061
169.97	0.275	0.155
170.571	0.265	0.237
171.171	0.297	0.229
171.772	0.292	0.151
172.372	0.24	0.074
172.973	0.197	0.044
173.574	0.244	0.073
174.174	0.189	0.146
174.775	0.189	0.179
175.375	0.251	0.14
175.976	0.207	0.087
176.577	0.173	0.055
177.177	0.193	0.058
177.778	0.212	0.099
178.378	0.272	0.153
178.979	0.252	0.191
179.58	0.325	0.18
180.18	0.299	0.154
180.781	0.293	0.131
181.381	0.303	0.128
181.982	0.257	0.151
182.583	0.257	0.16
183.183	0.276	0.146
183.784	0.261	0.127
184.384	0.277	0.12
184.985	0.213	0.13
185.586	0.253	0.129
186.186	0.217	0.127
186.787	0.205	0.114
187.387	0.227	0.095
187.988	0.243	0.099
188.589	0.189	0.123
189.189	0.254	0.132
189.79	0.247	0.138
190.39	0.202	0.132
190.991	0.268	0.109
191.592	0.257	0.109
192.192	0.286	0.137
192.793	0.269	0.174
193.393	0.256	0.182
193.994	0.273	0.147
194.595	0.277	0.108
195.195	0.304	0.105
195.796	0.262	0.148
196.396	0.273	0.182
196.997	0.269	0.179
197.598	0.228	0.14
198.198	0.256	0.086
198.799	0.241	0.073
199.399	0.31	0.115
200.0	0.285	0.195
200.601	0.272	0.233
201.201	0.329	0.192
201.802	0.304	0.127
202.402	0.231	0.089
203.003	0.219	0.083
203.604	0.255	0.108
204.204	0.202	0.152
204.805	0.208	0.156
205.405	0.24	0.116
206.006	0.256	0.084
206.607	0.208	0.093
207.207	0.259	0.123
207.808	0.271	0.162
