Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.813	0.048
1.201	0.597	0.38
1.802	0.345	0.653
2.402	0.711	0.523
3.003	0.4	0.214
3.604	0.471	-0.074
4.204	0.443	-0.074
4.805	0.259	0.197
5.405	0.496	0.432
6.006	0.54	0.495
6.607	0.486	0.361
7.207	0.292	0.118
7.808	0.3	-0.08
8.408	0.318	-0.059
9.009	0.27	0.163
9.61	0.352	0.372
10.21	0.422	0.408
10.811	0.35	0.263
11.411	0.302	0.048
12.012	0.329	-0.062
12.613	0.224	0.035
13.213	0.275	0.214
13.814	0.365	0.33
14.414	0.3	0.311
15.015	0.247	0.151
15.616	0.278	-0.024
16.216	0.267	-0.046
16.817	0.335	0.106
17.417	0.408	0.321
18.018	0.521	0.439
18.619	0.439	0.394
19.219	0.348	0.198
19.82	0.305	-0.011
20.42	0.307	-0.061
21.021	0.407	0.098
21.622	0.524	0.366
22.222	0.313	0.527
22.823	0.479	0.375
23.423	0.516	0.096
24.024	0.554	-0.014
24.625	0.338	0.142
25.225	0.431	0.344
25.826	0.564	0.438
26.426	0.396	0.379
27.027	0.554	0.183
27.628	0.335	0.063
28.228	0.31	0.06
28.829	0.404	0.157
29.429	0.314	0.293
30.03	0.363	0.319
30.631	0.412	0.225
31.231	0.371	0.116
31.832	0.257	0.074
32.432	0.307	0.097
33.033	0.402	0.178
33.634	0.4	0.286
34.234	0.36	0.321
34.835	0.416	0.238
35.435	0.481	0.137
36.036	0.388	0.134
36.637	0.355	0.2
37.237	0.43	0.253
37.838	0.425	0.278
38.438	0.241	0.239
39.039	0.448	0.117
39.64	0.262	0.078
40.24	0.378	0.112
40.841	0.429	0.221
41.441	0.23	0.315
42.042	0.455	0.254
42.643	0.425	0.165
43.243	0.25	0.117
43.844	0.49	0.103
44.444	0.398	0.212
45.045	0.312	0.318
45.646	0.451	0.29
46.246	0.419	0.204
46.847	0.402	0.135
47.447	0.373	0.132
48.048	0.314	0.183
48.649	0.519	0.231
49.249	0.374	0.295
49.85	0.489	0.283
50.45	0.5	0.241
51.051	0.403	0.211
51.652	0.486	0.192
52.252	0.315	0.216
52.853	0.588	0.218
53.453	0.567	0.285
54.054	0.223	0.344
54.655	0.594	0.235
55.255	0.431	0.165
55.856	0.249	0.153
56.456	0.365	0.135
57.057	0.263	0.155
57.658	0.42	0.174
58.258	0.456	0.228
58.859	0.406	0.288
59.459	0.457	0.282
60.06	0.508	0.239
60.661	0.38	0.211
61.261	0.356	0.176
61.862	0.449	0.158
62.462	0.394	0.2
63.063	0.387	0.247
63.664	0.483	0.257
64.264	0.491	0.258
64.865	0.363	0.248
65.465	0.457	0.198
66.066	0.453	0.18
66.667	0.334	0.205
67.267	0.506	0.218
67.868	0.457	0.261
68.468	0.5	0.289
69.069	0.508	0.29
69.67	0.335	0.26
70.27	0.369	0.158
70.871	0.389	0.089
71.471	0.181	0.114
72.072	0.248	0.136
72.673	0.358	0.155
73.273	0.275	0.197
73.874	0.245	0.193
74.474	0.353	0.139
