Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.586	0.037
1.201	0.472	0.277
1.802	0.371	0.493
2.402	0.593	0.449
3.003	0.488	0.259
3.604	0.457	0.072
4.204	0.423	0.038
4.805	0.365	0.171
5.405	0.432	0.328
6.006	0.486	0.388
6.607	0.491	0.323
7.207	0.427	0.193
7.808	0.404	0.093
8.408	0.389	0.102
9.009	0.38	0.204
9.61	0.406	0.302
10.21	0.447	0.318
10.811	0.436	0.253
11.411	0.412	0.166
12.012	0.406	0.125
12.613	0.373	0.162
13.213	0.386	0.232
13.814	0.412	0.273
14.414	0.416	0.261
15.015	0.39	0.207
15.616	0.397	0.152
16.216	0.392	0.147
16.817	0.403	0.196
17.417	0.425	0.258
18.018	0.461	0.288
18.619	0.446	0.272
19.219	0.426	0.22
19.82	0.406	0.17
20.42	0.408	0.16
21.021	0.427	0.199
21.622	0.454	0.261
22.222	0.415	0.296
22.823	0.447	0.262
23.423	0.465	0.199
24.024	0.475	0.178
24.625	0.418	0.218
25.225	0.437	0.262
25.826	0.466	0.274
26.426	0.442	0.255
27.027	0.463	0.216
27.628	0.423	0.198
28.228	0.413	0.203
28.829	0.424	0.221
29.429	0.415	0.238
30.03	0.414	0.236
30.631	0.428	0.217
31.231	0.427	0.202
31.832	0.394	0.205
32.432	0.405	0.21
33.033	0.43	0.217
33.634	0.429	0.23
34.234	0.417	0.237
34.835	0.43	0.227
35.435	0.452	0.215
36.036	0.433	0.22
36.637	0.421	0.232
37.237	0.437	0.233
37.838	0.435	0.229
38.438	0.394	0.22
39.039	0.431	0.202
39.64	0.402	0.201
40.24	0.426	0.211
40.841	0.43	0.23
41.441	0.397	0.241
42.042	0.432	0.225
42.643	0.436	0.208
43.243	0.403	0.206
43.844	0.441	0.212
44.444	0.437	0.232
45.045	0.415	0.248
45.646	0.431	0.236
46.246	0.443	0.214
46.847	0.433	0.207
47.447	0.42	0.216
48.048	0.417	0.228
48.649	0.456	0.233
49.249	0.429	0.238
49.85	0.454	0.234
50.45	0.45	0.231
51.051	0.445	0.232
51.652	0.448	0.233
52.252	0.421	0.234
52.853	0.476	0.226
53.453	0.469	0.236
54.054	0.402	0.251
54.655	0.465	0.235
55.255	0.448	0.222
55.856	0.41	0.219
56.456	0.404	0.213
