Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.874	0.055
1.201	0.731	0.416
1.802	0.593	0.75
2.402	0.884	0.699
3.003	0.803	0.41
3.604	0.736	0.134
4.204	0.658	0.089
4.805	0.581	0.277
5.405	0.659	0.496
6.006	0.751	0.574
6.607	0.771	0.482
7.207	0.671	0.311
7.808	0.639	0.18
8.408	0.616	0.192
9.009	0.596	0.321
9.61	0.626	0.444
10.21	0.691	0.461
10.811	0.677	0.381
11.411	0.646	0.276
12.012	0.64	0.229
12.613	0.591	0.276
13.213	0.602	0.355
13.814	0.635	0.397
14.414	0.644	0.38
15.015	0.603	0.319
15.616	0.62	0.258
16.216	0.617	0.256
16.817	0.634	0.315
17.417	0.662	0.389
18.018	0.718	0.425
18.619	0.695	0.411
19.219	0.667	0.353
19.82	0.639	0.29
20.42	0.645	0.269
21.021	0.671	0.312
21.622	0.707	0.391
22.222	0.645	0.444
22.823	0.694	0.404
23.423	0.731	0.323
24.024	0.754	0.298
24.625	0.661	0.356
25.225	0.685	0.409
25.826	0.728	0.415
26.426	0.696	0.384
27.027	0.722	0.337
27.628	0.666	0.323
28.228	0.65	0.334
28.829	0.664	0.352
29.429	0.652	0.364
30.03	0.644	0.355
30.631	0.666	0.33
31.231	0.667	0.32
31.832	0.617	0.332
32.432	0.634	0.339
33.033	0.675	0.339
33.634	0.673	0.35
34.234	0.649	0.361
34.835	0.669	0.354
35.435	0.71	0.343
36.036	0.683	0.354
36.637	0.663	0.369
37.237	0.685	0.363
37.838	0.682	0.351
38.438	0.617	0.34
39.039	0.669	0.318
39.64	0.631	0.318
40.24	0.667	0.334
40.841	0.671	0.361
41.441	0.623	0.374
42.042	0.673	0.348
42.643	0.684	0.323
43.243	0.633	0.325
43.844	0.687	0.337
44.444	0.686	0.366
45.045	0.653	0.386
45.646	0.671	0.366
46.246	0.695	0.333
46.847	0.68	0.325
47.447	0.656	0.344
48.048	0.652	0.361
48.649	0.715	0.363
49.249	0.673	0.368
49.85	0.712	0.363
50.45	0.702	0.363
51.051	0.702	0.367
51.652	0.7	0.37
52.252	0.664	0.368
52.853	0.746	0.352
53.453	0.737	0.366
54.054	0.633	0.392
54.655	0.723	0.372
55.255	0.706	0.351
55.856	0.649	0.345
56.456	0.626	0.334
57.057	0.637	0.318
57.658	0.674	0.317
58.258	0.681	0.346
58.859	0.687	0.384
59.459	0.693	0.398
60.06	0.727	0.381
60.661	0.69	0.36
61.261	0.659	0.338
61.862	0.689	0.326
62.462	0.681	0.342
63.063	0.665	0.368
63.664	0.706	0.378
64.264	0.721	0.377
64.865	0.675	0.372
65.465	0.695	0.353
66.066	0.703	0.343
66.667	0.662	0.351
67.267	0.705	0.359
67.868	0.705	0.373
68.468	0.724	0.384
69.069	0.712	0.388
69.67	0.673	0.377
70.27	0.66	0.342
70.871	0.672	0.311
71.471	0.597	0.313
72.072	0.59	0.317
72.673	0.639	0.317
73.273	0.632	0.33
73.874	0.592	0.342
74.474	0.646	0.329
75.075	0.652	0.32
75.676	0.676	0.332
76.276	0.678	0.362
76.877	0.6	0.379
77.477	0.664	0.344
78.078	0.616	0.305
78.679	0.63	0.285
79.279	0.658	0.306
79.88	0.64	0.358
80.48	0.692	0.391
81.081	0.717	0.396
81.682	0.722	0.379
82.282	0.747	0.361
82.883	0.714	0.367
83.483	0.723	0.382
84.084	0.712	0.39
84.685	0.708	0.381
85.285	0.737	0.363
85.886	0.738	0.363
86.486	0.738	0.383
87.087	0.757	0.405
87.688	0.771	0.418
88.288	0.763	0.417
88.889	0.779	0.399
89.489	0.784	0.388
90.09	0.747	0.394
90.691	0.821	0.404
