Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.694	0.041
1.201	0.499	0.324
1.802	0.297	0.552
2.402	0.665	0.445
3.003	0.327	0.207
3.604	0.415	-0.036
4.204	0.424	-0.052
4.805	0.236	0.172
5.405	0.476	0.373
6.006	0.481	0.445
6.607	0.422	0.337
7.207	0.332	0.119
7.808	0.287	-0.046
8.408	0.318	-0.025
9.009	0.299	0.166
9.61	0.343	0.352
10.21	0.415	0.38
10.811	0.354	0.25
11.411	0.302	0.063
12.012	0.333	-0.032
12.613	0.251	0.055
13.213	0.299	0.218
13.814	0.374	0.324
14.414	0.316	0.306
15.015	0.285	0.16
15.616	0.294	0.006
16.216	0.28	-0.014
16.817	0.337	0.117
17.417	0.39	0.301
18.018	0.467	0.397
18.619	0.416	0.345
19.219	0.34	0.176
19.82	0.306	0.01
20.42	0.313	-0.015
21.021	0.38	0.126
21.622	0.468	0.338
22.222	0.333	0.448
22.823	0.437	0.319
23.423	0.449	0.1
24.024	0.459	0.009
24.625	0.334	0.124
25.225	0.4	0.294
25.826	0.493	0.386
26.426	0.38	0.346
27.027	0.485	0.184
27.628	0.33	0.071
28.228	0.309	0.061
28.829	0.385	0.148
29.429	0.32	0.276
30.03	0.367	0.31
30.631	0.397	0.234
31.231	0.356	0.129
31.832	0.283	0.075
32.432	0.311	0.094
33.033	0.38	0.177
33.634	0.386	0.278
34.234	0.361	0.307
34.835	0.396	0.23
35.435	0.429	0.132
36.036	0.363	0.115
36.637	0.345	0.17
37.237	0.4	0.235
37.838	0.401	0.275
38.438	0.28	0.246
39.039	0.419	0.139
39.64	0.282	0.089
40.24	0.36	0.106
40.841	0.401	0.196
41.441	0.262	0.286
42.042	0.429	0.256
42.643	0.399	0.187
43.243	0.273	0.13
43.844	0.447	0.101
44.444	0.365	0.18
45.045	0.319	0.271
45.646	0.426	0.272
46.246	0.387	0.22
46.847	0.385	0.155
47.447	0.364	0.13
48.048	0.311	0.157
48.649	0.46	0.2
49.249	0.36	0.265
49.85	0.437	0.269
50.45	0.455	0.233
51.051	0.37	0.195
51.652	0.438	0.165
52.252	0.316	0.183
52.853	0.495	0.202
53.453	0.493	0.262
54.054	0.258	0.305
54.655	0.518	0.22
55.255	0.393	0.159
55.856	0.269	0.143
56.456	0.366	0.136
57.057	0.278	0.168
57.658	0.401	0.191
58.258	0.425	0.225
58.859	0.374	0.253
59.459	0.423	0.232
60.06	0.441	0.201
60.661	0.357	0.192
61.261	0.357	0.181
61.862	0.41	0.18
62.462	0.377	0.203
63.063	0.375	0.221
63.664	0.428	0.218
64.264	0.433	0.217
64.865	0.352	0.22
65.465	0.416	0.198
66.066	0.415	0.19
66.667	0.335	0.201
67.267	0.451	0.199
67.868	0.411	0.222
68.468	0.436	0.242
69.069	0.453	0.249
69.67	0.329	0.237
70.27	0.363	0.172
70.871	0.376	0.122
71.471	0.229	0.133
72.072	0.283	0.143
72.673	0.351	0.158
73.273	0.295	0.193
73.874	0.281	0.194
74.474	0.35	0.158
75.075	0.33	0.138
75.676	0.388	0.155
76.276	0.393	0.213
76.877	0.24	0.253
77.477	0.393	0.193
78.078	0.274	0.129
78.679	0.283	0.085
79.279	0.41	0.106
79.88	0.277	0.21
80.48	0.442	0.27
81.081	0.444	0.286
81.682	0.396	0.248
82.282	0.512	0.182
82.883	0.38	0.182
83.483	0.432	0.208
84.084	0.434	0.247
84.685	0.375	0.262
85.285	0.486	0.225
85.886	0.445	0.207
86.486	0.436	0.213
87.087	0.504	0.236
87.688	0.476	0.279
88.288	0.482	0.298
88.889	0.513	0.274
89.489	0.513	0.242
