Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	1.034	0.066
1.201	0.881	0.493
1.802	0.723	0.895
2.402	1.048	0.843
3.003	0.989	0.498
3.604	0.907	0.174
4.204	0.796	0.124
4.805	0.703	0.342
5.405	0.793	0.592
6.006	0.905	0.676
6.607	0.934	0.571
7.207	0.814	0.38
7.808	0.779	0.237
8.408	0.747	0.25
9.009	0.725	0.391
9.61	0.755	0.523
10.21	0.83	0.539
10.811	0.816	0.453
11.411	0.782	0.343
12.012	0.777	0.295
12.613	0.719	0.345
13.213	0.73	0.426
13.814	0.765	0.466
14.414	0.776	0.446
15.015	0.726	0.384
15.616	0.748	0.323
16.216	0.75	0.322
16.817	0.77	0.386
17.417	0.801	0.464
18.018	0.868	0.503
18.619	0.841	0.491
19.219	0.808	0.432
19.82	0.776	0.362
20.42	0.785	0.335
21.021	0.815	0.377
21.622	0.855	0.466
22.222	0.78	0.529
22.823	0.837	0.487
23.423	0.887	0.396
24.024	0.918	0.369
24.625	0.805	0.437
25.225	0.83	0.496
25.826	0.881	0.497
26.426	0.847	0.459
27.027	0.872	0.409
27.628	0.809	0.397
28.228	0.79	0.412
28.829	0.805	0.429
29.429	0.791	0.437
30.03	0.779	0.424
30.631	0.804	0.397
31.231	0.807	0.389
31.832	0.748	0.407
32.432	0.768	0.414
33.033	0.818	0.41
33.634	0.816	0.42
34.234	0.785	0.434
34.835	0.809	0.429
35.435	0.86	0.418
36.036	0.83	0.432
36.637	0.804	0.448
37.237	0.831	0.439
37.838	0.826	0.423
38.438	0.75	0.41
39.039	0.807	0.387
39.64	0.765	0.387
40.24	0.808	0.405
40.841	0.812	0.436
41.441	0.755	0.451
42.042	0.812	0.42
42.643	0.828	0.391
43.243	0.769	0.395
43.844	0.83	0.41
44.444	0.832	0.443
45.045	0.792	0.466
45.646	0.811	0.443
46.246	0.842	0.402
46.847	0.826	0.395
47.447	0.794	0.418
48.048	0.79	0.439
48.649	0.866	0.439
49.249	0.817	0.444
49.85	0.863	0.439
50.45	0.85	0.441
51.051	0.853	0.447
51.652	0.848	0.45
52.252	0.806	0.446
52.853	0.904	0.426
53.453	0.894	0.443
54.054	0.768	0.475
54.655	0.873	0.453
55.255	0.856	0.426
55.856	0.79	0.418
56.456	0.756	0.405
57.057	0.77	0.385
57.658	0.815	0.382
58.258	0.824	0.418
58.859	0.832	0.465
59.459	0.84	0.483
60.06	0.881	0.463
60.661	0.839	0.437
61.261	0.799	0.411
61.862	0.834	0.396
62.462	0.827	0.414
63.063	0.805	0.445
63.664	0.854	0.456
64.264	0.873	0.456
64.865	0.82	0.451
65.465	0.842	0.43
66.066	0.852	0.417
66.667	0.804	0.426
67.267	0.853	0.434
67.868	0.854	0.45
68.468	0.879	0.464
69.069	0.862	0.471
69.67	0.817	0.458
70.27	0.801	0.416
70.871	0.814	0.377
71.471	0.724	0.377
72.072	0.711	0.383
72.673	0.77	0.382
73.273	0.765	0.398
73.874	0.715	0.413
74.474	0.779	0.399
75.075	0.79	0.388
75.676	0.818	0.401
76.276	0.819	0.438
76.877	0.727	0.458
77.477	0.801	0.417
78.078	0.746	0.369
78.679	0.762	0.345
79.279	0.792	0.37
79.88	0.775	0.432
80.48	0.834	0.472
81.081	0.867	0.478
81.682	0.876	0.459
82.282	0.904	0.439
82.883	0.867	0.447
83.483	0.875	0.464
84.084	0.862	0.472
84.685	0.857	0.46
85.285	0.892	0.438
85.886	0.893	0.44
86.486	0.893	0.466
87.087	0.917	0.492
