Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.504	0.031
1.201	0.4	0.238
1.802	0.294	0.421
2.402	0.479	0.372
3.003	0.378	0.195
3.604	0.363	0.027
4.204	0.329	0.008
4.805	0.265	0.137
5.405	0.339	0.274
6.006	0.39	0.319
6.607	0.385	0.256
7.207	0.296	0.138
7.808	0.289	0.04
8.408	0.282	0.045
9.009	0.263	0.142
9.61	0.29	0.237
10.21	0.335	0.254
10.811	0.312	0.194
11.411	0.289	0.107
12.012	0.294	0.062
12.613	0.249	0.098
13.213	0.263	0.166
13.814	0.294	0.208
14.414	0.288	0.199
15.015	0.256	0.144
15.616	0.273	0.083
16.216	0.271	0.075
16.817	0.288	0.129
17.417	0.317	0.203
18.018	0.365	0.244
18.619	0.339	0.232
19.219	0.311	0.17
19.82	0.288	0.101
20.42	0.292	0.079
21.021	0.321	0.126
21.622	0.358	0.213
22.222	0.293	0.268
22.823	0.346	0.225
23.423	0.373	0.137
24.024	0.392	0.105
24.625	0.305	0.16
25.225	0.333	0.219
25.826	0.376	0.237
26.426	0.333	0.212
27.027	0.372	0.157
27.628	0.309	0.131
28.228	0.296	0.136
28.829	0.314	0.16
29.429	0.297	0.185
30.03	0.297	0.184
30.631	0.318	0.157
31.231	0.315	0.136
31.832	0.267	0.139
32.432	0.285	0.146
33.033	0.322	0.156
33.634	0.319	0.176
34.234	0.301	0.187
34.835	0.322	0.172
35.435	0.355	0.154
36.036	0.325	0.161
36.637	0.308	0.178
37.237	0.331	0.179
37.838	0.329	0.174
38.438	0.264	0.162
39.039	0.326	0.135
39.64	0.277	0.132
40.24	0.315	0.147
40.841	0.323	0.176
41.441	0.268	0.194
42.042	0.327	0.169
42.643	0.33	0.143
43.243	0.278	0.14
43.844	0.341	0.147
44.444	0.331	0.179
45.045	0.297	0.205
45.646	0.325	0.186
46.246	0.339	0.153
46.847	0.324	0.141
47.447	0.307	0.154
48.048	0.3	0.173
48.649	0.362	0.181
49.249	0.319	0.19
49.85	0.359	0.183
50.45	0.352	0.177
51.051	0.341	0.177
51.652	0.349	0.179
52.252	0.305	0.181
52.853	0.394	0.171
53.453	0.382	0.187
54.054	0.275	0.209
54.655	0.378	0.183
55.255	0.346	0.163
55.856	0.288	0.159
56.456	0.286	0.149
57.057	0.286	0.14
57.658	0.325	0.141
58.258	0.333	0.167
58.859	0.336	0.2
59.459	0.341	0.209
60.06	0.371	0.193
60.661	0.331	0.174
61.261	0.306	0.154
61.862	0.34	0.144
62.462	0.327	0.161
63.063	0.316	0.185
63.664	0.356	0.194
64.264	0.365	0.193
64.865	0.319	0.186
65.465	0.344	0.166
66.066	0.348	0.157
66.667	0.307	0.168
67.267	0.357	0.176
67.868	0.352	0.191
68.468	0.368	0.201
69.069	0.36	0.201
69.67	0.315	0.188
70.27	0.309	0.154
70.871	0.32	0.127
71.471	0.247	0.133
72.072	0.25	0.139
72.673	0.299	0.141
73.273	0.282	0.154
73.874	0.251	0.161
74.474	0.304	0.145
75.075	0.301	0.138
75.676	0.325	0.151
76.276	0.331	0.18
76.877	0.252	0.197
77.477	0.32	0.162
78.078	0.268	0.125
78.679	0.279	0.106
79.279	0.32	0.125
79.88	0.289	0.178
80.48	0.35	0.211
81.081	0.367	0.216
81.682	0.366	0.197
82.282	0.397	0.174
82.883	0.357	0.178
83.483	0.371	0.194
84.084	0.362	0.207
84.685	0.354	0.203
85.285	0.389	0.184
85.886	0.386	0.181
86.486	0.386	0.197
87.087	0.408	0.217
87.688	0.417	0.233
88.288	0.41	0.236
88.889	0.427	0.219
89.489	0.433	0.204
90.09	0.392	0.208
90.691	0.473	0.216
91.291	0.451	0.248
91.892	0.506	0.273
92.492	0.507	0.285
93.093	0.451	0.276
93.694	0.444	0.232
94.294	0.447	0.187
94.895	0.441	0.183
95.495	0.432	0.222
96.096	0.449	0.266
96.697	0.447	0.28
97.297	0.413	0.249
97.898	0.408	0.19
98.498	0.415	0.154
99.099	0.433	0.175
99.7	0.448	0.242
100.3	0.465	0.3
100.901	0.481	0.305
101.502	0.478	0.261
102.102	0.458	0.208
102.703	0.395	0.181
103.303	0.44	0.183
103.904	0.419	0.224
104.505	0.406	0.261
105.105	0.375	0.251
105.706	0.437	0.196
106.306	0.391	0.163
106.907	0.387	0.171
107.508	0.37	0.207
108.108	0.379	0.231
108.709	0.37	0.223
109.309	0.363	0.189
109.91	0.343	0.154
110.511	0.311	0.143
