Mean Speed	Mean Blade Disp	Std_Dev Blade Disp	Mean Tower Disp	Std_Dev Tower Disp
4.000	0.132	0.025	0.069	0.019
5.000	0.205	0.039	0.107	0.028
6.000	0.290	0.056	0.151	0.039
7.000	0.375	0.073	0.196	0.051
8.000	0.464	0.090	0.242	0.063
9.000	0.587	0.114	0.306	0.078
10.000	0.724	0.141	0.378	0.095
11.000	0.876	0.170	0.457	0.114
12.000	0.739	0.146	0.386	0.104
13.000	0.630	0.127	0.329	0.096
14.000	0.563	0.116	0.294	0.093
15.000	0.518	0.108	0.271	0.091
16.000	0.480	0.102	0.251	0.090
17.000	0.450	0.098	0.235	0.089
18.000	0.426	0.094	0.222	0.089
19.000	0.404	0.091	0.211	0.088
20.000	0.388	0.089	0.202	0.089
21.000	0.373	0.087	0.194	0.089
22.000	0.361	0.086	0.189	0.089
23.000	0.348	0.085	0.182	0.089
24.000	0.338	0.084	0.176	0.089
25.000	0.328	0.083	0.171	0.090
