Time(s)	Relative Blade_disp(m)	Tower_disp(m)
157.958	0.409	0.157
158.559	0.373	0.199
159.159	0.354	0.24
159.76	0.328	0.227
160.36	0.314	0.161
160.961	0.366	0.1
161.562	0.428	0.122
162.162	0.332	0.226
162.763	0.42	0.291
163.363	0.361	0.281
163.964	0.32	0.186
164.565	0.397	0.08
165.165	0.267	0.081
165.766	0.409	0.151
166.366	0.35	0.268
166.967	0.195	0.301
167.568	0.346	0.168
168.168	0.18	0.03
168.769	0.15	-0.039
169.369	0.422	0.014
169.97	0.404	0.242
170.571	0.409	0.441
171.171	0.5	0.433
171.772	0.41	0.258
172.372	0.341	0.046
172.973	0.245	-0.047
173.574	0.359	0.033
174.174	0.254	0.241
174.775	0.245	0.354
175.375	0.41	0.266
175.976	0.249	0.113
176.577	0.195	-0.017
177.177	0.273	-0.031
177.778	0.254	0.107
178.378	0.453	0.28
178.979	0.376	0.395
179.58	0.531	0.342
180.18	0.474	0.217
180.781	0.404	0.118
181.381	0.486	0.112
181.982	0.34	0.225
182.583	0.382	0.301
183.183	0.452	0.285
183.784	0.352	0.213
184.384	0.446	0.127
184.985	0.248	0.12
185.586	0.356	0.141
186.186	0.31	0.193
186.787	0.245	0.217
187.387	0.359	0.165
187.988	0.35	0.129
188.589	0.203	0.134
189.189	0.403	0.133
189.79	0.327	0.188
190.39	0.237	0.224
190.991	0.453	0.185
191.592	0.343	0.174
192.192	0.45	0.184
192.793	0.405	0.235
193.393	0.318	0.263
193.994	0.423	0.213
194.595	0.389	0.164
195.195	0.474	0.16
195.796	0.397	0.227
196.396	0.381	0.276
196.997	0.407	0.258
197.598	0.259	0.189
198.198	0.377	0.088
198.799	0.327	0.076
199.399	0.492	0.166
200.0	0.443	0.328
200.601	0.371	0.4
201.201	0.54	0.296
201.802	0.415	0.161
202.402	0.286	0.078
203.003	0.302	0.067
203.604	0.366	0.142
204.204	0.247	0.253
204.805	0.282	0.257
205.405	0.333	0.159
206.006	0.346	0.072
206.607	0.261	0.079
207.207	0.372	0.151
207.808	0.403	0.259
208.408	0.449	0.327
209.009	0.324	0.295
209.61	0.358	0.157
210.21	0.365	0.047
210.811	0.381	0.072
211.411	0.353	0.21
212.012	0.342	0.324
212.613	0.483	0.312
213.213	0.367	0.231
213.814	0.372	0.12
214.414	0.389	0.079
215.015	0.317	0.145
215.616	0.415	0.238
216.216	0.418	0.308
216.817	0.459	0.297
217.417	0.411	0.225
218.018	0.455	0.15
218.619	0.49	0.154
219.219	0.385	0.245
219.82	0.312	0.297
220.42	0.405	0.235
221.021	0.498	0.153
221.622	0.393	0.159
222.222	0.491	0.217
222.823	0.551	0.311
223.423	0.507	0.376
224.024	0.601	0.344
224.625	0.602	0.281
225.225	0.382	0.234
225.826	0.526	0.174
226.426	0.507	0.198
227.027	0.33	0.276
227.628	0.604	0.285
228.228	0.333	0.291
228.829	0.188	0.198
229.429	0.45	0.038
230.03	0.226	0.031
230.631	0.324	0.119
231.231	0.551	0.261
231.832	0.411	0.404
232.432	0.53	0.39
233.033	0.576	0.265
233.634	0.562	0.171
234.234	0.473	0.184
234.835	0.437	0.26
235.435	0.335	0.301
236.036	0.486	0.238
236.637	0.394	0.176
237.237	0.418	0.149
237.838	0.49	0.193
238.438	0.339	0.283
239.039	0.533	0.296
239.64	0.581	0.285
240.24	0.533	0.287
240.841	0.468	0.283
241.441	0.383	0.244
242.042	0.342	0.165
242.643	0.509	0.111
243.243	0.325	0.179
243.844	0.227	0.242
244.444	0.537	0.216
245.045	0.357	0.222
245.646	0.436	0.21
246.246	0.709	0.227
246.847	0.316	0.336
247.447	0.401	0.313
248.048	0.48	0.196
248.649	0.124	0.107
249.249	0.368	0.015
249.85	0.304	0.065
250.45	0.422	0.216
251.051	0.485	0.367
251.652	0.417	0.404
252.252	0.562	0.282
252.853	0.408	0.153
253.453	0.338	0.084
254.054	0.465	0.112
254.655	0.3	0.246
255.255	0.486	0.317
255.856	0.355	0.31
256.456	0.354	0.195
257.057	0.688	0.09
257.658	0.318	0.19
258.258	0.361	0.289
258.859	0.653	0.307
259.459	0.419	0.329
260.06	0.599	0.274
260.661	0.459	0.235
261.261	0.343	0.204
261.862	0.555	0.169
262.462	0.219	0.212
263.063	0.318	0.189
263.664	0.427	0.144
264.264	0.244	0.155
264.865	0.5	0.168
265.465	0.313	0.242
266.066	0.224	0.248
266.667	0.524	0.156
267.267	0.241	0.14
267.868	0.451	0.139
268.468	0.477	0.216
269.069	0.465	0.325
269.67	0.63	0.363
270.27	0.594	0.364
270.871	0.365	0.302
271.471	0.445	0.155
272.072	0.34	0.068
272.673	0.288	0.086
273.273	0.466	0.175
273.874	0.356	0.312
274.474	0.337	0.336
275.075	0.579	0.229
275.676	0.297	0.16
276.276	0.287	0.099
276.877	0.43	0.093
277.477	0.196	0.184
278.078	0.422	0.226
278.679	0.442	0.251
279.279	0.257	0.247
279.88	0.355	0.156
280.48	0.452	0.093
281.081	0.416	0.153
281.682	0.444	0.278
282.282	0.326	0.351
282.883	0.392	0.267
283.483	0.54	0.131
284.084	0.423	0.122
284.685	0.459	0.211
285.285	0.68	0.337
285.886	0.629	0.464
286.486	0.587	0.466
287.087	0.614	0.329
287.688	0.314	0.164
288.288	0.358	0.019
288.889	0.471	0.03
289.489	0.374	0.226
