Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.933	0.058
1.201	0.759	0.442
1.802	0.599	0.789
2.402	0.937	0.722
3.003	0.795	0.414
3.604	0.74	0.116
4.204	0.676	0.066
4.805	0.586	0.278
5.405	0.684	0.523
6.006	0.78	0.613
6.607	0.79	0.511
7.207	0.677	0.311
7.808	0.647	0.156
8.408	0.623	0.169
9.009	0.604	0.324
9.61	0.645	0.474
10.21	0.712	0.499
10.811	0.694	0.402
11.411	0.657	0.269
12.012	0.65	0.206
12.613	0.594	0.263
13.213	0.613	0.366
13.814	0.652	0.427
14.414	0.66	0.409
15.015	0.615	0.328
15.616	0.631	0.245
16.216	0.626	0.238
16.817	0.644	0.313
17.417	0.679	0.41
18.018	0.743	0.458
18.619	0.716	0.437
19.219	0.682	0.358
19.82	0.65	0.277
20.42	0.654	0.255
21.021	0.686	0.314
21.622	0.731	0.415
22.222	0.658	0.478
22.823	0.717	0.424
23.423	0.753	0.321
24.024	0.774	0.287
24.625	0.67	0.354
25.225	0.702	0.424
25.826	0.752	0.441
26.426	0.71	0.407
27.027	0.747	0.345
27.628	0.679	0.319
28.228	0.661	0.329
28.829	0.679	0.356
29.429	0.663	0.38
30.03	0.659	0.374
30.631	0.685	0.343
31.231	0.684	0.322
31.832	0.626	0.331
32.432	0.647	0.34
33.033	0.691	0.347
33.634	0.689	0.366
34.234	0.665	0.378
34.835	0.688	0.364
35.435	0.731	0.346
36.036	0.697	0.357
36.637	0.676	0.376
37.237	0.702	0.374
37.838	0.699	0.364
38.438	0.625	0.35
39.039	0.69	0.322
39.64	0.64	0.32
40.24	0.683	0.338
40.841	0.689	0.371
41.441	0.631	0.388
42.042	0.692	0.359
42.643	0.701	0.329
43.243	0.642	0.328
43.844	0.708	0.34
44.444	0.703	0.375
45.045	0.663	0.401
45.646	0.69	0.379
46.246	0.712	0.34
46.847	0.695	0.329
47.447	0.671	0.347
48.048	0.665	0.368
48.649	0.736	0.374
49.249	0.687	0.382
49.85	0.732	0.375
50.45	0.723	0.371
51.051	0.716	0.374
51.652	0.719	0.377
52.252	0.673	0.376
52.853	0.771	0.362
53.453	0.759	0.378
54.054	0.638	0.406
54.655	0.749	0.38
55.255	0.722	0.356
55.856	0.655	0.351
56.456	0.64	0.34
57.057	0.647	0.324
57.658	0.691	0.323
58.258	0.699	0.355
58.859	0.705	0.397
59.459	0.711	0.411
60.06	0.747	0.391
60.661	0.703	0.367
61.261	0.671	0.343
61.862	0.707	0.33
62.462	0.696	0.349
63.063	0.679	0.379
63.664	0.727	0.39
64.264	0.74	0.388
64.865	0.687	0.381
65.465	0.714	0.358
66.066	0.719	0.348
66.667	0.673	0.359
67.267	0.726	0.368
67.868	0.723	0.385
68.468	0.744	0.396
69.069	0.732	0.399
69.67	0.684	0.385
70.27	0.673	0.345
70.871	0.686	0.313
71.471	0.602	0.317
72.072	0.599	0.324
72.673	0.656	0.323
73.273	0.642	0.339
73.874	0.6	0.35
74.474	0.662	0.333
75.075	0.664	0.324
75.676	0.691	0.338
76.276	0.695	0.372
76.877	0.606	0.391
77.477	0.68	0.351
78.078	0.623	0.307
78.679	0.638	0.285
79.279	0.676	0.307
79.88	0.649	0.368
80.48	0.712	0.406
81.081	0.736	0.411
81.682	0.738	0.39
82.282	0.768	0.366
82.883	0.727	0.371
83.483	0.739	0.388
84.084	0.728	0.401
84.685	0.721	0.393
85.285	0.757	0.372
85.886	0.755	0.37
86.486	0.754	0.39
87.087	0.777	0.414
87.688	0.79	0.43
88.288	0.781	0.43
88.889	0.799	0.41
89.489	0.805	0.396
90.09	0.761	0.401
90.691	0.847	0.411
91.291	0.825	0.445
91.892	0.886	0.471
92.492	0.885	0.484
93.093	0.827	0.474
93.694	0.815	0.428
94.294	0.82	0.379
94.895	0.814	0.373
95.495	0.802	0.414
96.096	0.819	0.461
96.697	0.818	0.477
97.297	0.782	0.444
97.898	0.776	0.381
98.498	0.783	0.342
99.099	0.803	0.365
99.7	0.818	0.436
100.3	0.838	0.498
100.901	0.856	0.504
101.502	0.855	0.458
102.102	0.833	0.403
102.703	0.765	0.374
103.303	0.811	0.375
103.904	0.79	0.416
104.505	0.774	0.455
105.105	0.738	0.444
105.706	0.809	0.387
106.306	0.761	0.354
106.907	0.755	0.364
107.508	0.735	0.402
108.108	0.746	0.424
108.709	0.734	0.413
109.309	0.73	0.376
109.91	0.704	0.342
110.511	0.67	0.332
111.111	0.667	0.341
111.712	0.682	0.358
112.312	0.642	0.369
112.913	0.664	0.352
113.514	0.706	0.33
114.114	0.693	0.342
114.715	0.689	0.372
115.315	0.723	0.392
115.916	0.738	0.4
116.517	0.702	0.39
117.117	0.724	0.361
117.718	0.739	0.348
118.318	0.709	0.367
118.919	0.729	0.391
119.52	0.713	0.402
120.12	0.712	0.387
120.721	0.737	0.359
121.321	0.707	0.352
121.922	0.712	0.362
122.523	0.766	0.384
123.123	0.699	0.413
123.724	0.769	0.407
124.324	0.695	0.386
124.925	0.718	0.351
125.526	0.656	0.333
126.126	0.65	0.326
126.727	0.754	0.336
127.327	0.721	0.391
127.928	0.772	0.438
128.529	0.77	0.448
129.129	0.794	0.417
129.73	0.825	0.384
130.33	0.802	0.392
130.931	0.764	0.423
131.532	0.811	0.437
132.132	0.803	0.437
132.733	0.728	0.417
133.333	0.786	0.371
133.934	0.762	0.356
134.535	0.772	0.382
135.135	0.788	0.429
135.736	0.768	0.457
136.336	0.828	0.437
136.937	0.794	0.407
137.538	0.732	0.383
138.138	0.751	0.362
138.739	0.749	0.369
139.339	0.75	0.398
139.94	0.722	0.418
140.541	0.746	0.403
141.141	0.756	0.373
141.742	0.728	0.362
142.342	0.767	0.372
142.943	0.764	0.405
143.544	0.735	0.432
144.144	0.762	0.417
144.745	0.724	0.381
145.345	0.745	0.346
145.946	0.677	0.344
146.547	0.665	0.355
147.147	0.706	0.361
147.748	0.689	0.372
148.348	0.667	0.371
148.949	0.677	0.35
149.55	0.63	0.33
150.15	0.591	0.31
150.751	0.667	0.295
151.351	0.663	0.324
151.952	0.64	0.373
152.553	0.682	0.387
153.153	0.733	0.375
153.754	0.682	0.364
154.354	0.675	0.348
154.955	0.694	0.338
155.556	0.647	0.346
156.156	0.67	0.351
156.757	0.696	0.354
157.357	0.725	0.366
157.958	0.728	0.388
158.559	0.722	0.403
159.159	0.712	0.395
159.76	0.686	0.364
160.36	0.68	0.328
160.961	0.7	0.317
161.562	0.73	0.351
162.162	0.7	0.408
162.763	0.731	0.429
163.363	0.707	0.403
163.964	0.703	0.347
164.565	0.703	0.31
165.165	0.675	0.324
165.766	0.714	0.368
166.366	0.693	0.413
166.967	0.64	0.41
167.568	0.668	0.341
168.168	0.623	0.277
168.769	0.599	0.26
169.369	0.693	0.297
169.97	0.734	0.391
170.571	0.725	0.475
171.171	0.753	0.471
171.772	0.761	0.395
172.372	0.706	0.319
172.973	0.656	0.288
173.574	0.7	0.313
174.174	0.643	0.379
174.775	0.636	0.408
175.375	0.7	0.369
175.976	0.667	0.322
176.577	0.625	0.299
177.177	0.639	0.304
177.778	0.669	0.336
178.378	0.725	0.381
178.979	0.707	0.419
179.58	0.783	0.416
180.18	0.761	0.4
180.781	0.759	0.382
181.381	0.764	0.377
181.982	0.72	0.389
182.583	0.714	0.391
183.183	0.729	0.376
183.784	0.721	0.364
184.384	0.733	0.365
184.985	0.672	0.377
185.586	0.709	0.372
186.186	0.672	0.361
186.787	0.659	0.343
187.387	0.674	0.326
187.988	0.697	0.334
188.589	0.642	0.365
189.189	0.705	0.375
189.79	0.705	0.375
190.39	0.658	0.365
190.991	0.716	0.342
191.592	0.715	0.344
192.192	0.742	0.377
192.793	0.722	0.417
193.393	0.715	0.423
193.994	0.728	0.384
194.595	0.735	0.342
195.195	0.76	0.341
195.796	0.717	0.387
196.396	0.729	0.423
196.997	0.721	0.419
197.598	0.688	0.375
198.198	0.707	0.32
198.799	0.696	0.309
199.399	0.763	0.352
200.0	0.738	0.434
200.601	0.729	0.471
201.201	0.783	0.429
201.802	0.767	0.364
202.402	0.687	0.329
203.003	0.67	0.324
203.604	0.705	0.346
204.204	0.653	0.383
204.805	0.651	0.385
205.405	0.686	0.345
206.006	0.712	0.317
206.607	0.657	0.334
207.207	0.709	0.366
207.808	0.723	0.399
208.408	0.755	0.416
209.009	0.69	0.405
209.61	0.715	0.358
210.21	0.711	0.324
210.811	0.733	0.336
211.411	0.699	0.387
212.012	0.703	0.419
212.613	0.757	0.405
213.213	0.727	0.377
213.814	0.724	0.353
214.414	0.721	0.351
215.015	0.711	0.372
215.616	0.727	0.392
216.216	0.738	0.401
216.817	0.763	0.397
217.417	0.732	0.389
218.018	0.771	0.379
218.619	0.778	0.388
219.219	0.745	0.412
219.82	0.691	0.413
220.42	0.73	0.371
221.021	0.779	0.339
221.622	0.742	0.365
222.222	0.769	0.413
222.823	0.806	0.452
223.423	0.809	0.46
224.024	0.824	0.433
224.625	0.838	0.404
225.225	0.752	0.399
225.826	0.786	0.395
226.426	0.793	0.403
227.027	0.733	0.418
227.628	0.805	0.409
228.228	0.721	0.401
228.829	0.653	0.372
229.429	0.713	0.322
230.03	0.694	0.314
230.631	0.686	0.349
231.231	0.772	0.398
231.832	0.771	0.446
232.432	0.776	0.455
233.033	0.825	0.419
233.634	0.834	0.392
234.234	0.784	0.401
234.835	0.757	0.419
235.435	0.72	0.414
236.036	0.764	0.377
236.637	0.74	0.356
237.237	0.752	0.366
237.838	0.762	0.402
238.438	0.736	0.433
239.039	0.788	0.424
239.64	0.822	0.403
240.24	0.814	0.404
240.841	0.763	0.423
241.441	0.741	0.422
242.042	0.721	0.388
242.643	0.785	0.348
243.243	0.713	0.357
243.844	0.652	0.381
244.444	0.761	0.377
245.045	0.742	0.385
245.646	0.754	0.397
246.246	0.85	0.412
246.847	0.748	0.444
247.447	0.727	0.431
248.048	0.753	0.374
248.649	0.657	0.329
249.249	0.677	0.305
249.85	0.685	0.322
250.45	0.756	0.378
251.051	0.742	0.444
251.652	0.761	0.459
252.252	0.808	0.419
252.853	0.756	0.376
253.453	0.733	0.351
254.054	0.744	0.358
254.655	0.71	0.391
255.255	0.758	0.41
255.856	0.706	0.409
256.456	0.736	0.375
257.057	0.838	0.353
257.658	0.74	0.397
258.258	0.72	0.434
258.859	0.818	0.423
259.459	0.792	0.409
260.06	0.81	0.403
260.661	0.76	0.411
261.261	0.751	0.408
261.862	0.779	0.393
262.462	0.688	0.383
263.063	0.689	0.356
263.664	0.711	0.332
264.264	0.693	0.342
264.865	0.745	0.375
265.465	0.698	0.416
266.066	0.676	0.41
266.667	0.752	0.358
267.267	0.698	0.331
267.868	0.743	0.341
