Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.648	0.038
1.201	0.458	0.303
1.802	0.259	0.511
2.402	0.629	0.405
3.003	0.272	0.186
3.604	0.379	-0.044
4.204	0.401	-0.057
4.805	0.192	0.161
5.405	0.46	0.348
6.006	0.438	0.418
6.607	0.37	0.314
7.207	0.316	0.098
7.808	0.242	-0.056
8.408	0.292	-0.035
9.009	0.281	0.153
9.61	0.31	0.337
10.21	0.389	0.363
10.811	0.317	0.233
11.411	0.269	0.045
12.012	0.305	-0.051
12.613	0.219	0.04
13.213	0.276	0.206
13.814	0.35	0.315
14.414	0.281	0.296
15.015	0.264	0.143
15.616	0.262	-0.013
16.216	0.247	-0.033
16.817	0.312	0.101
17.417	0.357	0.289
18.018	0.437	0.385
18.619	0.38	0.33
19.219	0.306	0.154
19.82	0.278	-0.015
20.42	0.276	-0.035
21.021	0.35	0.114
21.622	0.439	0.328
22.222	0.3	0.436
22.823	0.405	0.301
23.423	0.408	0.076
24.024	0.412	-0.018
24.625	0.305	0.098
25.225	0.365	0.277
25.826	0.461	0.378
26.426	0.344	0.338
27.027	0.45	0.167
27.628	0.292	0.043
28.228	0.272	0.03
28.829	0.359	0.126
29.429	0.285	0.268
30.03	0.343	0.309
30.631	0.369	0.228
31.231	0.321	0.11
31.832	0.252	0.045
32.432	0.28	0.064
33.033	0.347	0.16
33.634	0.357	0.273
34.234	0.332	0.304
34.835	0.367	0.218
35.435	0.391	0.107
36.036	0.324	0.082
36.637	0.313	0.141
37.237	0.367	0.221
37.838	0.371	0.273
38.438	0.254	0.243
39.039	0.389	0.125
39.64	0.249	0.062
40.24	0.325	0.075
40.841	0.373	0.173
41.441	0.229	0.277
42.042	0.404	0.255
42.643	0.369	0.181
43.243	0.236	0.111
43.844	0.419	0.069
44.444	0.324	0.15
45.045	0.286	0.252
45.646	0.405	0.265
46.246	0.346	0.22
46.847	0.357	0.144
47.447	0.334	0.103
48.048	0.27	0.125
48.649	0.429	0.173
49.249	0.325	0.253
49.85	0.401	0.266
50.45	0.43	0.225
51.051	0.323	0.176
51.652	0.407	0.132
52.252	0.28	0.15
52.853	0.45	0.182
53.453	0.465	0.254
54.054	0.221	0.3
54.655	0.489	0.206
55.255	0.356	0.135
55.856	0.225	0.113
56.456	0.349	0.109
57.057	0.238	0.157
57.658	0.372	0.19
58.258	0.401	0.22
58.859	0.329	0.236
59.459	0.395	0.2
60.06	0.398	0.168
60.661	0.315	0.168
61.261	0.334	0.17
61.862	0.373	0.178
62.462	0.345	0.196
63.063	0.347	0.2
63.664	0.386	0.188
64.264	0.396	0.187
64.865	0.316	0.199
65.465	0.382	0.188
66.066	0.384	0.185
66.667	0.302	0.189
67.267	0.418	0.176
67.868	0.373	0.193
68.468	0.394	0.215
69.069	0.421	0.23
69.67	0.292	0.227
70.27	0.336	0.163
70.871	0.345	0.109
71.471	0.196	0.113
72.072	0.261	0.119
72.673	0.319	0.141
73.273	0.263	0.182
73.874	0.262	0.185
74.474	0.317	0.148
75.075	0.299	0.122
75.676	0.357	0.132
76.276	0.357	0.19
76.877	0.211	0.234
77.477	0.363	0.182
78.078	0.244	0.122
78.679	0.252	0.074
79.279	0.383	0.087
79.88	0.239	0.186
80.48	0.409	0.246
81.081	0.409	0.268
81.682	0.35	0.234
82.282	0.482	0.166
82.883	0.336	0.161
83.483	0.392	0.183
84.084	0.403	0.22
84.685	0.327	0.243
85.285	0.454	0.21
85.886	0.404	0.192
86.486	0.391	0.194
87.087	0.469	0.209
87.688	0.425	0.251
88.288	0.441	0.272
88.889	0.47	0.253
89.489	0.463	0.226
90.09	0.396	0.21
90.691	0.553	0.206
91.291	0.477	0.266
91.892	0.573	0.32
92.492	0.609	0.35
93.093	0.43	0.339
93.694	0.502	0.236
94.294	0.467	0.15
94.895	0.446	0.149
95.495	0.49	0.229
96.096	0.482	0.33
96.697	0.492	0.361
97.297	0.429	0.291
97.898	0.407	0.164
98.498	0.43	0.084
99.099	0.458	0.134
99.7	0.5	0.279
100.3	0.526	0.404
100.901	0.546	0.411
101.502	0.519	0.301
102.102	0.487	0.167
102.703	0.369	0.108
103.303	0.491	0.14
103.904	0.446	0.268
104.505	0.435	0.367
105.105	0.405	0.333
105.706	0.477	0.195
106.306	0.382	0.095
106.907	0.4	0.099
107.508	0.382	0.203
108.108	0.395	0.304
108.709	0.414	0.315
109.309	0.364	0.233
109.91	0.354	0.113
110.511	0.279	0.058
111.111	0.296	0.089
111.712	0.334	0.182
112.312	0.272	0.26
112.913	0.33	0.236
113.514	0.374	0.152
114.114	0.313	0.104
114.715	0.333	0.115
115.315	0.374	0.182
115.916	0.387	0.261
116.517	0.355	0.281
117.117	0.393	0.216
117.718	0.392	0.14
118.318	0.339	0.121
118.919	0.379	0.157
119.52	0.355	0.227
120.12	0.353	0.26
120.721	0.422	0.227
121.321	0.339	0.179
121.922	0.361	0.136
122.523	0.444	0.145
123.123	0.298	0.22
123.724	0.462	0.255
124.324	0.331	0.257
124.925	0.351	0.194
125.526	0.316	0.118
126.126	0.236	0.081
126.727	0.453	0.1
127.327	0.352	0.225
127.928	0.444	0.325
128.529	0.47	0.332
129.129	0.423	0.257
129.73	0.518	0.156
130.33	0.453	0.154
130.931	0.384	0.226
131.532	0.53	0.287
132.132	0.451	0.328
132.733	0.353	0.282
133.333	0.494	0.161
133.934	0.367	0.112
134.535	0.431	0.149
135.135	0.482	0.256
135.736	0.391	0.35
136.336	0.551	0.322
136.937	0.449	0.248
137.538	0.334	0.161
138.138	0.438	0.099
138.739	0.365	0.147
139.339	0.409	0.243
139.94	0.401	0.308
140.541	0.388	0.28
141.141	0.436	0.184
141.742	0.357	0.123
142.342	0.422	0.129
142.943	0.439	0.215
143.544	0.368	0.31
144.144	0.455	0.305
144.745	0.373	0.229
145.345	0.382	0.127
145.946	0.33	0.088
146.547	0.262	0.126
147.147	0.398	0.185
147.748	0.329	0.254
148.348	0.315	0.25
148.949	0.355	0.169
149.55	0.233	0.096
150.15	0.204	0.052
150.751	0.344	0.067
151.351	0.288	0.175
151.952	0.305	0.264
152.553	0.374	0.257
153.153	0.378	0.192
153.754	0.319	0.129
154.354	0.308	0.102
154.955	0.344	0.132
155.556	0.279	0.2
156.156	0.344	0.225
156.757	0.366	0.205
157.357	0.381	0.173
157.958	0.391	0.164
158.559	0.367	0.191
159.159	0.355	0.221
159.76	0.337	0.215
160.36	0.329	0.173
160.961	0.365	0.131
161.562	0.404	0.143
162.162	0.34	0.209
162.763	0.399	0.253
163.363	0.359	0.25
163.964	0.332	0.189
164.565	0.386	0.118
165.165	0.296	0.117
165.766	0.394	0.161
166.366	0.353	0.238
166.967	0.246	0.262
167.568	0.35	0.174
168.168	0.236	0.083
168.769	0.216	0.036
169.369	0.403	0.069
169.97	0.389	0.222
170.571	0.39	0.358
171.171	0.456	0.353
171.772	0.389	0.236
172.372	0.346	0.092
172.973	0.284	0.027
173.574	0.357	0.082
174.174	0.289	0.223
174.775	0.281	0.301
175.375	0.393	0.241
175.976	0.286	0.137
176.577	0.245	0.048
177.177	0.301	0.038
177.778	0.289	0.131
178.378	0.423	0.25
178.979	0.369	0.33
179.58	0.473	0.293
180.18	0.433	0.205
180.781	0.383	0.136
181.381	0.443	0.131
181.982	0.343	0.21
182.583	0.374	0.266
183.183	0.423	0.258
183.784	0.351	0.208
184.384	0.418	0.145
184.985	0.284	0.137
185.586	0.354	0.152
186.186	0.327	0.191
186.787	0.28	0.212
187.387	0.36	0.177
187.988	0.355	0.149
188.589	0.251	0.148
189.189	0.39	0.146
189.79	0.335	0.186
190.39	0.275	0.213
190.991	0.425	0.189
191.592	0.345	0.182
192.192	0.418	0.184
192.793	0.39	0.214
193.393	0.326	0.233
193.994	0.403	0.203
194.595	0.377	0.174
195.195	0.432	0.173
195.796	0.386	0.214
196.396	0.369	0.243
196.997	0.39	0.23
197.598	0.29	0.186
198.198	0.371	0.121
198.799	0.338	0.116
199.399	0.445	0.176
200.0	0.419	0.281
200.601	0.362	0.326
201.201	0.478	0.256
201.802	0.393	0.167
202.402	0.307	0.114
203.003	0.325	0.108
203.604	0.36	0.16
204.204	0.285	0.232
204.805	0.307	0.232
205.405	0.337	0.165
206.006	0.352	0.107
206.607	0.29	0.115
207.207	0.368	0.165
207.808	0.391	0.238
208.408	0.414	0.282
209.009	0.337	0.256
209.61	0.356	0.163
210.21	0.36	0.091
210.811	0.373	0.11
211.411	0.355	0.204
212.012	0.347	0.281
212.613	0.442	0.271
213.213	0.37	0.215
213.814	0.357	0.142
214.414	0.382	0.113
215.015	0.33	0.158
215.616	0.392	0.221
216.216	0.401	0.268
216.817	0.42	0.261
217.417	0.392	0.211
218.018	0.42	0.159
218.619	0.44	0.162
219.219	0.375	0.222
219.82	0.326	0.26
220.42	0.387	0.221
221.021	0.45	0.166
221.622	0.376	0.167
222.222	0.445	0.203
222.823	0.481	0.264
223.423	0.449	0.309
224.024	0.517	0.289
224.625	0.509	0.248
225.225	0.372	0.214
225.826	0.467	0.175
226.426	0.448	0.192
227.027	0.34	0.244
227.628	0.519	0.252
228.228	0.338	0.256
228.829	0.242	0.193
229.429	0.419	0.085
230.03	0.266	0.081
230.631	0.335	0.141
231.231	0.492	0.237
231.832	0.387	0.335
232.432	0.47	0.323
233.033	0.499	0.235
233.634	0.478	0.169
234.234	0.432	0.175
234.835	0.407	0.23
235.435	0.34	0.265
236.036	0.445	0.227
236.637	0.381	0.185
237.237	0.395	0.16
237.838	0.443	0.183
238.438	0.341	0.242
239.039	0.47	0.256
239.64	0.5	0.255
240.24	0.466	0.258
240.841	0.431	0.248
241.441	0.371	0.218
242.042	0.343	0.166
242.643	0.457	0.134
243.243	0.334	0.185
243.844	0.271	0.228
244.444	0.479	0.208
245.045	0.353	0.208
245.646	0.406	0.196
246.246	0.586	0.207
246.847	0.322	0.283
247.447	0.39	0.27
248.048	0.437	0.197
248.649	0.198	0.137
249.249	0.369	0.071
249.85	0.316	0.102
250.45	0.4	0.202
251.051	0.443	0.305
251.652	0.391	0.334
252.252	0.494	0.252
252.853	0.388	0.164
253.453	0.337	0.113
254.054	0.43	0.13
254.655	0.316	0.222
255.255	0.441	0.275
255.856	0.359	0.273
256.456	0.351	0.196
257.057	0.574	0.12
257.658	0.325	0.181
