Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.564	0.033
1.201	0.394	0.263
1.802	0.24	0.442
2.402	0.599	0.358
3.003	0.244	0.192
3.604	0.351	-0.005
4.204	0.393	-0.033
4.805	0.192	0.144
5.405	0.45	0.306
6.006	0.396	0.383
6.607	0.343	0.3
7.207	0.364	0.109
7.808	0.248	-0.013
8.408	0.304	0.005
9.009	0.318	0.162
9.61	0.313	0.32
10.21	0.399	0.339
10.811	0.33	0.229
11.411	0.29	0.07
12.012	0.321	-0.01
12.613	0.255	0.068
13.213	0.311	0.211
13.814	0.363	0.309
14.414	0.312	0.292
15.015	0.312	0.159
15.616	0.288	0.03
16.216	0.275	0.012
16.817	0.326	0.118
17.417	0.347	0.27
18.018	0.401	0.342
18.619	0.373	0.288
19.219	0.315	0.147
19.82	0.302	0.025
20.42	0.294	0.026
21.021	0.34	0.146
21.622	0.4	0.297
22.222	0.328	0.357
22.823	0.378	0.254
23.423	0.368	0.095
24.024	0.359	0.028
24.625	0.317	0.107
25.225	0.349	0.242
25.826	0.41	0.324
26.426	0.352	0.296
27.027	0.392	0.172
27.628	0.312	0.072
28.228	0.293	0.059
28.829	0.343	0.137
29.429	0.319	0.249
30.03	0.347	0.288
30.631	0.363	0.228
31.231	0.327	0.13
31.832	0.288	0.069
32.432	0.3	0.087
33.033	0.34	0.169
33.634	0.354	0.258
34.234	0.345	0.279
34.835	0.356	0.209
35.435	0.361	0.118
36.036	0.323	0.09
36.637	0.319	0.137
37.237	0.354	0.211
37.838	0.357	0.259
38.438	0.304	0.237
39.039	0.367	0.149
39.64	0.285	0.092
40.24	0.327	0.095
40.841	0.351	0.166
41.441	0.284	0.247
42.042	0.382	0.247
42.643	0.356	0.196
43.243	0.285	0.133
43.844	0.377	0.093
44.444	0.323	0.141
45.045	0.31	0.216
45.646	0.378	0.244
46.246	0.344	0.224
46.847	0.35	0.166
47.447	0.335	0.122
48.048	0.298	0.125
48.649	0.379	0.163
49.249	0.333	0.225
49.85	0.372	0.245
50.45	0.39	0.217
51.051	0.329	0.172
51.652	0.37	0.133
52.252	0.303	0.143
52.853	0.391	0.175
53.453	0.404	0.23
54.054	0.282	0.259
54.655	0.418	0.2
55.255	0.345	0.147
55.856	0.275	0.125
56.456	0.343	0.128
57.057	0.284	0.17
57.658	0.36	0.199
58.258	0.374	0.215
58.859	0.332	0.21
59.459	0.368	0.175
60.06	0.361	0.155
60.661	0.323	0.164
61.261	0.339	0.18
61.862	0.356	0.194
62.462	0.345	0.198
63.063	0.344	0.186
63.664	0.357	0.169
64.264	0.364	0.167
64.865	0.325	0.184
65.465	0.361	0.192
66.066	0.364	0.195
66.667	0.321	0.19
67.267	0.378	0.17
67.868	0.352	0.171
68.468	0.362	0.186
69.069	0.38	0.204
69.67	0.315	0.213
70.27	0.34	0.181
70.871	0.343	0.145
71.471	0.264	0.137
72.072	0.297	0.135
72.673	0.327	0.152
73.273	0.299	0.184
73.874	0.302	0.192
74.474	0.33	0.17
75.075	0.318	0.148
75.676	0.346	0.145
76.276	0.345	0.174
76.877	0.272	0.203
77.477	0.353	0.185
78.078	0.291	0.158
78.679	0.295	0.129
79.279	0.363	0.127
79.88	0.283	0.173
80.48	0.374	0.205
81.081	0.373	0.224
81.682	0.34	0.213
82.282	0.414	0.176
82.883	0.332	0.168
83.483	0.362	0.172
84.084	0.371	0.189
84.685	0.326	0.207
85.285	0.398	0.197
85.886	0.369	0.191
86.486	0.36	0.188
87.087	0.404	0.187
87.688	0.373	0.205
88.288	0.385	0.216
88.889	0.401	0.213
89.489	0.394	0.205
90.09	0.367	0.197
90.691	0.438	0.19
91.291	0.4	0.213
91.892	0.444	0.237
92.492	0.464	0.254
93.093	0.375	0.254
93.694	0.417	0.208
94.294	0.397	0.166
94.895	0.385	0.162
95.495	0.412	0.196
96.096	0.401	0.245
96.697	0.41	0.262
97.297	0.379	0.233
97.898	0.368	0.173
98.498	0.383	0.133
99.099	0.392	0.153
99.7	0.413	0.221
100.3	0.426	0.282
100.901	0.433	0.288
101.502	0.421	0.237
102.102	0.406	0.172
102.703	0.35	0.141
103.303	0.41	0.155
103.904	0.387	0.218
104.505	0.383	0.268
105.105	0.37	0.253
105.706	0.402	0.187
106.306	0.357	0.136
106.907	0.367	0.136
107.508	0.358	0.186
108.108	0.364	0.237
108.709	0.375	0.245
109.309	0.348	0.206
109.91	0.346	0.146
110.511	0.307	0.117
111.111	0.315	0.13
111.712	0.336	0.176
112.312	0.303	0.218
112.913	0.333	0.207
113.514	0.356	0.166
114.114	0.323	0.141
114.715	0.336	0.144
115.315	0.356	0.176
115.916	0.359	0.218
116.517	0.347	0.229
117.117	0.364	0.198
117.718	0.363	0.159
118.318	0.339	0.147
118.919	0.356	0.164
119.52	0.345	0.2
120.12	0.345	0.218
120.721	0.379	0.203
121.321	0.337	0.179
121.922	0.349	0.155
122.523	0.389	0.159
123.123	0.316	0.195
123.724	0.399	0.214
124.324	0.334	0.217
124.925	0.342	0.187
125.526	0.328	0.148
126.126	0.284	0.127
126.727	0.397	0.135
127.327	0.342	0.199
127.928	0.388	0.25
128.529	0.404	0.255
129.129	0.373	0.217
129.73	0.425	0.163
130.33	0.389	0.16
130.931	0.356	0.196
131.532	0.433	0.229
132.132	0.387	0.254
132.733	0.346	0.231
133.333	0.414	0.169
133.934	0.345	0.142
134.535	0.384	0.157
135.135	0.406	0.212
135.736	0.359	0.262
136.336	0.444	0.251
136.937	0.387	0.214
137.538	0.332	0.167
138.138	0.391	0.132
138.739	0.343	0.158
139.339	0.374	0.209
139.94	0.371	0.244
140.541	0.357	0.232
141.141	0.389	0.18
141.742	0.341	0.146
142.342	0.377	0.146
142.943	0.388	0.191
143.544	0.348	0.244
144.144	0.399	0.244
144.745	0.354	0.206
145.345	0.36	0.152
145.946	0.332	0.129
146.547	0.298	0.147
147.147	0.369	0.179
147.748	0.332	0.218
148.348	0.328	0.217
148.949	0.348	0.175
149.55	0.282	0.135
150.15	0.269	0.11
150.751	0.341	0.117
151.351	0.312	0.175
151.952	0.323	0.224
152.553	0.358	0.222
153.153	0.357	0.187
153.754	0.328	0.15
154.354	0.322	0.134
154.955	0.34	0.151
155.556	0.308	0.189
156.156	0.342	0.205
156.757	0.353	0.195
157.357	0.359	0.175
157.958	0.363	0.166
158.559	0.351	0.179
159.159	0.346	0.196
159.76	0.338	0.198
160.36	0.334	0.18
160.961	0.352	0.157
161.562	0.37	0.158
162.162	0.338	0.188
162.763	0.368	0.21
163.363	0.347	0.213
163.964	0.334	0.186
164.565	0.364	0.151
165.165	0.316	0.148
165.766	0.366	0.166
166.366	0.345	0.203
166.967	0.289	0.217
167.568	0.346	0.176
168.168	0.286	0.133
168.769	0.275	0.108
169.369	0.374	0.122
169.97	0.36	0.197
170.571	0.363	0.265
171.171	0.399	0.264
171.772	0.358	0.208
172.372	0.344	0.135
172.973	0.312	0.101
173.574	0.344	0.128
174.174	0.317	0.198
174.775	0.307	0.239
175.375	0.365	0.21
175.976	0.314	0.158
176.577	0.288	0.113
177.177	0.321	0.105
177.778	0.312	0.152
178.378	0.381	0.213
178.979	0.353	0.255
179.58	0.403	0.236
180.18	0.385	0.19
180.781	0.356	0.153
181.381	0.39	0.149
181.982	0.339	0.191
182.583	0.355	0.222
183.183	0.382	0.22
183.784	0.341	0.195
184.384	0.378	0.159
184.985	0.311	0.152
185.586	0.343	0.16
186.186	0.334	0.183
186.787	0.307	0.197
187.387	0.35	0.18
187.988	0.348	0.164
188.589	0.291	0.16
189.189	0.365	0.157
189.79	0.335	0.179
190.39	0.304	0.196
190.991	0.385	0.186
191.592	0.338	0.182
192.192	0.377	0.18
192.793	0.365	0.191
193.393	0.327	0.201
193.994	0.372	0.188
194.595	0.356	0.178
195.195	0.382	0.178
195.796	0.365	0.196
196.396	0.349	0.208
196.997	0.364	0.199
197.598	0.313	0.178
198.198	0.351	0.15
198.799	0.34	0.149
199.399	0.389	0.178
200.0	0.377	0.228
200.601	0.349	0.247
201.201	0.404	0.212
201.802	0.362	0.17
202.402	0.322	0.146
203.003	0.332	0.144
203.604	0.349	0.17
204.204	0.311	0.204
204.805	0.321	0.202
205.405	0.337	0.168
206.006	0.343	0.14
206.607	0.313	0.146
207.207	0.354	0.173
207.808	0.364	0.209
208.408	0.373	0.228
209.009	0.338	0.214
209.61	0.344	0.167
210.21	0.347	0.133
