Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.272	0.017
1.201	0.208	0.128
1.802	0.156	0.223
2.402	0.28	0.197
3.003	0.193	0.112
3.604	0.194	0.023
4.204	0.191	0.006
4.805	0.154	0.073
5.405	0.2	0.151
6.006	0.217	0.184
6.607	0.211	0.151
7.207	0.189	0.08
7.808	0.173	0.027
8.408	0.169	0.033
9.009	0.169	0.09
9.61	0.184	0.145
10.21	0.201	0.156
10.811	0.193	0.118
11.411	0.18	0.065
12.012	0.176	0.039
12.613	0.163	0.061
13.213	0.172	0.106
13.814	0.187	0.136
14.414	0.186	0.13
15.015	0.176	0.093
15.616	0.174	0.056
16.216	0.17	0.051
16.817	0.176	0.081
17.417	0.188	0.121
18.018	0.205	0.141
18.619	0.198	0.128
19.219	0.187	0.093
19.82	0.177	0.062
20.42	0.176	0.06
21.021	0.187	0.088
21.622	0.201	0.125
22.222	0.185	0.141
22.823	0.199	0.119
23.423	0.202	0.081
24.024	0.203	0.067
24.625	0.181	0.087
25.225	0.191	0.116
25.826	0.206	0.13
26.426	0.194	0.121
27.027	0.205	0.096
27.628	0.184	0.079
28.228	0.179	0.079
28.829	0.186	0.093
29.429	0.182	0.11
30.03	0.185	0.114
30.631	0.191	0.102
31.231	0.188	0.087
31.832	0.173	0.082
32.432	0.178	0.085
33.033	0.188	0.096
33.634	0.189	0.108
34.234	0.185	0.112
34.835	0.191	0.102
35.435	0.197	0.09
36.036	0.188	0.09
36.637	0.184	0.097
37.237	0.191	0.104
37.838	0.192	0.107
38.438	0.174	0.102
39.039	0.192	0.089
39.64	0.176	0.084
40.24	0.186	0.088
40.841	0.189	0.1
41.441	0.174	0.109
42.042	0.193	0.104
42.643	0.192	0.094
43.243	0.176	0.089
43.844	0.195	0.089
44.444	0.19	0.099
45.045	0.181	0.109
45.646	0.192	0.107
46.246	0.194	0.098
46.847	0.19	0.092
47.447	0.186	0.092
48.048	0.182	0.097
48.649	0.2	0.101
49.249	0.188	0.107
49.85	0.199	0.106
50.45	0.198	0.102
51.051	0.193	0.1
51.652	0.197	0.099
52.252	0.183	0.1
52.853	0.208	0.1
