Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.793	0.047
1.201	0.593	0.372
1.802	0.388	0.643
2.402	0.744	0.538
3.003	0.467	0.259
3.604	0.502	-0.012
4.204	0.485	-0.035
4.805	0.334	0.199
5.405	0.521	0.428
6.006	0.577	0.503
6.607	0.533	0.391
7.207	0.393	0.168
7.808	0.38	-0.012
8.408	0.383	0.003
9.009	0.356	0.196
9.61	0.417	0.384
10.21	0.479	0.419
10.811	0.436	0.293
11.411	0.384	0.109
12.012	0.402	0.013
12.613	0.323	0.093
13.213	0.357	0.247
13.814	0.43	0.347
14.414	0.394	0.33
15.015	0.343	0.198
15.616	0.369	0.054
16.216	0.356	0.034
16.817	0.401	0.157
17.417	0.461	0.328
18.018	0.546	0.421
18.619	0.492	0.382
19.219	0.427	0.229
19.82	0.385	0.071
20.42	0.391	0.036
21.021	0.457	0.158
21.622	0.539	0.358
22.222	0.403	0.472
22.823	0.514	0.36
23.423	0.543	0.156
24.024	0.567	0.075
24.625	0.411	0.189
25.225	0.479	0.337
25.826	0.571	0.405
26.426	0.464	0.362
27.027	0.565	0.222
27.628	0.417	0.135
28.228	0.394	0.133
28.829	0.453	0.203
29.429	0.4	0.297
30.03	0.426	0.315
30.631	0.465	0.248
31.231	0.442	0.172
31.832	0.352	0.146
32.432	0.389	0.162
33.033	0.459	0.216
33.634	0.456	0.289
34.234	0.428	0.314
34.835	0.468	0.259
35.435	0.517	0.191
36.036	0.452	0.19
36.637	0.425	0.236
37.237	0.478	0.269
37.838	0.474	0.283
38.438	0.347	0.256
39.039	0.486	0.174
39.64	0.362	0.149
40.24	0.443	0.174
40.841	0.472	0.248
41.441	0.342	0.31
42.042	0.489	0.266
42.643	0.476	0.205
43.243	0.357	0.176
43.844	0.514	0.171
44.444	0.462	0.244
45.045	0.398	0.315
45.646	0.484	0.292
46.246	0.48	0.229
46.847	0.458	0.186
47.447	0.435	0.19
48.048	0.403	0.226
48.649	0.537	0.257
49.249	0.443	0.296
49.85	0.522	0.286
50.45	0.524	0.26
51.051	0.469	0.243
51.652	0.514	0.234
52.252	0.403	0.248
52.853	0.591	0.245
53.453	0.571	0.288
54.054	0.342	0.329
54.655	0.586	0.259
55.255	0.485	0.212
55.856	0.362	0.205
56.456	0.415	0.191
57.057	0.368	0.195
57.658	0.469	0.205
58.258	0.489	0.247
58.859	0.47	0.296
59.459	0.494	0.299
60.06	0.538	0.268
60.661	0.453	0.242
61.261	0.423	0.213
61.862	0.49	0.198
62.462	0.458	0.229
63.063	0.444	0.268
63.664	0.518	0.278
64.264	0.526	0.277
64.865	0.434	0.268
65.465	0.498	0.23
66.066	0.496	0.216
66.667	0.414	0.236
67.267	0.529	0.248
67.868	0.501	0.278
68.468	0.531	0.297
69.069	0.532	0.296
69.67	0.419	0.273
70.27	0.432	0.204
70.871	0.45	0.155
71.471	0.303	0.172
72.072	0.336	0.186
72.673	0.425	0.194
73.273	0.371	0.222
73.874	0.334	0.226
74.474	0.425	0.19
75.075	0.405	0.176
75.676	0.462	0.201
76.276	0.474	0.261
76.877	0.309	0.297
77.477	0.461	0.227
78.078	0.345	0.154
78.679	0.358	0.114
79.279	0.47	0.146
79.88	0.366	0.256
80.48	0.514	0.32
81.081	0.529	0.33
81.682	0.501	0.287
82.282	0.59	0.228
82.883	0.482	0.232
83.483	0.523	0.265
84.084	0.514	0.3
84.685	0.478	0.304
85.285	0.567	0.264
85.886	0.543	0.247
86.486	0.538	0.265
87.087	0.591	0.3
87.688	0.589	0.34
88.288	0.582	0.353
88.889	0.614	0.321
89.489	0.623	0.287
90.09	0.535	0.284
90.691	0.708	0.293
91.291	0.645	0.361
91.892	0.749	0.416
92.492	0.769	0.441
93.093	0.619	0.421
93.694	0.642	0.32
94.294	0.634	0.229
94.895	0.617	0.228
95.495	0.622	0.315
96.096	0.65	0.412
96.697	0.644	0.44
97.297	0.574	0.369
97.898	0.565	0.239
98.498	0.575	0.163
99.099	0.613	0.214
99.7	0.652	0.361
100.3	0.681	0.485
100.901	0.711	0.491
101.502	0.692	0.386
102.102	0.654	0.262
102.703	0.526	0.205
103.303	0.638	0.225
103.904	0.592	0.334
104.505	0.576	0.424
105.105	0.526	0.395
105.706	0.634	0.266
106.306	0.532	0.183
106.907	0.538	0.194
107.508	0.514	0.285
108.108	0.527	0.36
108.709	0.529	0.357
109.309	0.497	0.279
109.91	0.472	0.183
110.511	0.401	0.146
111.111	0.411	0.172
111.712	0.441	0.239
112.312	0.377	0.291
112.913	0.426	0.261
113.514	0.488	0.196
114.114	0.442	0.181
114.715	0.447	0.214
115.315	0.503	0.267
115.916	0.517	0.316
116.517	0.465	0.316
117.117	0.514	0.253
117.718	0.522	0.203
118.318	0.467	0.213
118.919	0.509	0.256
119.52	0.479	0.302
120.12	0.476	0.303
120.721	0.537	0.256
121.321	0.464	0.224
121.922	0.484	0.214
122.523	0.575	0.244
123.123	0.437	0.311
123.724	0.586	0.321
124.324	0.447	0.296
124.925	0.483	0.228
125.526	0.405	0.175
126.126	0.366	0.156
126.727	0.573	0.183
127.327	0.482	0.298
127.928	0.588	0.384
128.529	0.584	0.39
129.129	0.59	0.319
129.73	0.662	0.241
130.33	0.607	0.255
130.931	0.542	0.324
131.532	0.657	0.365
132.132	0.612	0.38
132.733	0.485	0.334
133.333	0.616	0.229
133.934	0.531	0.196
134.535	0.568	0.246
135.135	0.615	0.345
135.736	0.55	0.414
136.336	0.68	0.377
136.937	0.6	0.307
137.538	0.481	0.242
138.138	0.554	0.196
138.739	0.52	0.231
139.339	0.539	0.308
139.94	0.508	0.356
140.541	0.532	0.322
141.141	0.555	0.246
141.742	0.491	0.207
142.342	0.568	0.222
142.943	0.564	0.3
143.544	0.507	0.371
144.144	0.574	0.351
144.745	0.495	0.276
145.345	0.523	0.192
145.946	0.432	0.175
146.547	0.39	0.208
147.147	0.502	0.245
147.748	0.44	0.289
148.348	0.424	0.281
148.949	0.447	0.218
149.55	0.347	0.165
150.15	0.297	0.13
150.751	0.439	0.128
151.351	0.406	0.21
151.952	0.39	0.294
152.553	0.47	0.298
153.153	0.513	0.254
153.754	0.428	0.217
154.354	0.425	0.189
154.955	0.461	0.195
155.556	0.377	0.236
156.156	0.442	0.25
156.757	0.473	0.243
157.357	0.506	0.241
157.958	0.514	0.259
158.559	0.496	0.285
159.159	0.478	0.289
159.76	0.444	0.254
160.36	0.437	0.198
160.961	0.474	0.171
161.562	0.525	0.214
162.162	0.463	0.303
162.763	0.521	0.342
163.363	0.477	0.31
163.964	0.455	0.223
164.565	0.486	0.152
165.165	0.415	0.17
165.766	0.506	0.24
166.366	0.464	0.325
166.967	0.362	0.331
