Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.479	0.03
1.201	0.38	0.226
1.802	0.296	0.4
2.402	0.486	0.362
3.003	0.385	0.208
3.604	0.365	0.054
4.204	0.343	0.026
4.805	0.293	0.136
5.405	0.352	0.267
6.006	0.393	0.319
6.607	0.394	0.265
7.207	0.344	0.154
7.808	0.325	0.069
8.408	0.313	0.077
9.009	0.307	0.164
9.61	0.33	0.249
10.21	0.362	0.263
10.811	0.353	0.207
11.411	0.332	0.13
12.012	0.326	0.094
12.613	0.301	0.126
13.213	0.312	0.188
13.814	0.334	0.227
14.414	0.337	0.217
15.015	0.317	0.168
15.616	0.32	0.118
16.216	0.315	0.113
16.817	0.324	0.156
17.417	0.343	0.211
18.018	0.372	0.238
18.619	0.361	0.223
19.219	0.343	0.176
19.82	0.328	0.132
20.42	0.328	0.125
21.021	0.344	0.161
21.622	0.366	0.214
22.222	0.336	0.243
22.823	0.362	0.212
23.423	0.374	0.158
24.024	0.38	0.14
24.625	0.336	0.172
25.225	0.352	0.211
25.826	0.375	0.224
26.426	0.356	0.209
27.027	0.373	0.175
27.628	0.34	0.157
28.228	0.332	0.16
28.829	0.341	0.176
29.429	0.334	0.194
30.03	0.335	0.194
30.631	0.346	0.177
31.231	0.344	0.162
31.832	0.318	0.162
32.432	0.327	0.167
33.033	0.347	0.175
33.634	0.346	0.188
34.234	0.337	0.193
34.835	0.347	0.183
35.435	0.364	0.172
36.036	0.348	0.175
36.637	0.339	0.186
37.237	0.352	0.188
37.838	0.351	0.186
38.438	0.318	0.179
39.039	0.348	0.163
39.64	0.324	0.161
40.24	0.343	0.169
40.841	0.347	0.185
41.441	0.319	0.196
42.042	0.349	0.183
42.643	0.352	0.168
43.243	0.324	0.166
43.844	0.356	0.169
44.444	0.352	0.186
45.045	0.334	0.2
45.646	0.348	0.191
46.246	0.356	0.174
46.847	0.348	0.167
47.447	0.339	0.173
48.048	0.336	0.183
48.649	0.367	0.187
49.249	0.346	0.193
49.85	0.366	0.189
50.45	0.362	0.186
51.051	0.357	0.186
51.652	0.361	0.186
52.252	0.339	0.188
52.853	0.383	0.183
53.453	0.377	0.191
54.054	0.323	0.202
54.655	0.375	0.189
55.255	0.36	0.178
55.856	0.33	0.176
56.456	0.327	0.172
57.057	0.328	0.166
57.658	0.348	0.167
58.258	0.352	0.18
58.859	0.354	0.197
59.459	0.357	0.203
60.06	0.372	0.194
60.661	0.352	0.184
61.261	0.339	0.174
61.862	0.356	0.168
62.462	0.35	0.177
63.063	0.344	0.19
63.664	0.364	0.194
64.264	0.369	0.194
64.865	0.346	0.191
65.465	0.358	0.18
66.066	0.36	0.176
66.667	0.339	0.181
67.267	0.365	0.185
67.868	0.362	0.193
68.468	0.37	0.198
69.069	0.367	0.198
69.67	0.344	0.192
70.27	0.34	0.174
70.871	0.346	0.16
71.471	0.308	0.163
72.072	0.309	0.166
72.673	0.334	0.166
73.273	0.326	0.173
73.874	0.309	0.177
74.474	0.337	0.169
75.075	0.336	0.166
75.676	0.349	0.172
76.276	0.351	0.187
76.877	0.31	0.196
77.477	0.345	0.178
78.078	0.319	0.158
78.679	0.325	0.149
79.279	0.345	0.159
79.88	0.331	0.186
80.48	0.361	0.203
81.081	0.37	0.206
81.682	0.37	0.196
82.282	0.385	0.184
82.883	0.365	0.186
83.483	0.372	0.194
84.084	0.368	0.201
84.685	0.364	0.199
85.285	0.381	0.189
85.886	0.379	0.188
86.486	0.379	0.195
87.087	0.39	0.206
87.688	0.395	0.214
88.288	0.392	0.215
88.889	0.399	0.207
89.489	0.403	0.199
90.09	0.382	0.201
90.691	0.422	0.205
91.291	0.411	0.221
91.892	0.437	0.233
92.492	0.438	0.239
93.093	0.41	0.234
93.694	0.408	0.212
94.294	0.409	0.191
94.895	0.406	0.189
95.495	0.402	0.209
96.096	0.41	0.23
96.697	0.409	0.236
97.297	0.393	0.221
97.898	0.39	0.192
98.498	0.393	0.175
99.099	0.402	0.186
99.7	0.41	0.218
100.3	0.418	0.246
100.901	0.426	0.249
101.502	0.424	0.227
102.102	0.414	0.2
102.703	0.384	0.187
103.303	0.406	0.189
103.904	0.396	0.209
104.505	0.389	0.228
105.105	0.374	0.222
105.706	0.405	0.195
106.306	0.382	0.179
106.907	0.38	0.183
107.508	0.372	0.201
108.108	0.376	0.213
108.709	0.372	0.209
109.309	0.368	0.192
109.91	0.358	0.174
110.511	0.342	0.169
111.111	0.341	0.173
111.712	0.348	0.183
112.312	0.33	0.189
112.913	0.341	0.182
113.514	0.359	0.171
114.114	0.352	0.174
114.715	0.35	0.186
115.315	0.366	0.197
115.916	0.371	0.202
116.517	0.356	0.198
117.117	0.367	0.184
117.718	0.372	0.177
118.318	0.358	0.185
118.919	0.368	0.196
119.52	0.361	0.202
120.12	0.36	0.196
120.721	0.372	0.184
121.321	0.358	0.179
121.922	0.361	0.183
122.523	0.384	0.193
123.123	0.354	0.206
123.724	0.386	0.205
124.324	0.352	0.195
124.925	0.363	0.179
125.526	0.337	0.17
126.126	0.333	0.167
126.727	0.381	0.173
127.327	0.364	0.198
127.928	0.388	0.219
128.529	0.387	0.223
129.129	0.396	0.208
129.73	0.41	0.192
130.33	0.399	0.196
130.931	0.383	0.21
131.532	0.405	0.218
132.132	0.4	0.219
132.733	0.367	0.209
133.333	0.395	0.187
133.934	0.381	0.18
134.535	0.387	0.192
135.135	0.395	0.214
135.736	0.384	0.227
136.336	0.412	0.218
136.937	0.395	0.204
137.538	0.368	0.191
138.138	0.378	0.182
138.739	0.375	0.186
139.339	0.377	0.201
139.94	0.365	0.21
140.541	0.375	0.203
141.141	0.379	0.188
141.742	0.366	0.182
142.342	0.384	0.186
142.943	0.383	0.202
143.544	0.369	0.215
144.144	0.381	0.209
144.745	0.364	0.192
145.345	0.372	0.175
145.946	0.344	0.174
146.547	0.337	0.179
147.147	0.357	0.183
147.748	0.348	0.189
148.348	0.339	0.188
148.949	0.344	0.177
149.55	0.322	0.167
150.15	0.305	0.159
150.751	0.339	0.153
151.351	0.336	0.168
151.952	0.327	0.189
152.553	0.347	0.195
153.153	0.367	0.188
153.754	0.344	0.182
154.354	0.341	0.175
154.955	0.35	0.171
155.556	0.328	0.177
156.156	0.341	0.179
156.757	0.352	0.18
157.357	0.363	0.184
157.958	0.365	0.193
158.559	0.362	0.199
159.159	0.357	0.197
159.76	0.346	0.184
160.36	0.344	0.168
160.961	0.353	0.163
161.562	0.367	0.178
162.162	0.352	0.202
162.763	0.366	0.211
163.363	0.356	0.2
163.964	0.352	0.176
164.565	0.354	0.159
165.165	0.341	0.165
165.766	0.36	0.185
166.366	0.35	0.205
166.967	0.326	0.204
167.568	0.339	0.174
168.168	0.318	0.145
168.769	0.308	0.137
169.369	0.351	0.153
169.97	0.368	0.196
170.571	0.363	0.234
171.171	0.377	0.231
171.772	0.377	0.196
172.372	0.353	0.161
172.973	0.332	0.147
173.574	0.353	0.16
174.174	0.327	0.192
174.775	0.326	0.205
175.375	0.354	0.188
175.976	0.337	0.165
176.577	0.32	0.153
177.177	0.327	0.155
177.778	0.339	0.171
178.378	0.365	0.194
178.979	0.356	0.211
179.58	0.39	0.208
180.18	0.379	0.198
180.781	0.377	0.189
181.381	0.381	0.187
181.982	0.36	0.195
182.583	0.359	0.197
183.183	0.367	0.191
183.784	0.362	0.184
184.384	0.368	0.183
184.985	0.34	0.187
185.586	0.357	0.186
186.186	0.341	0.183
186.787	0.335	0.176
187.387	0.343	0.168
187.988	0.353	0.171
188.589	0.328	0.183
189.189	0.357	0.188
189.79	0.355	0.189
190.39	0.334	0.186
190.991	0.362	0.175
191.592	0.36	0.176
192.192	0.372	0.189
192.793	0.364	0.207
193.393	0.36	0.21
193.994	0.366	0.193
194.595	0.369	0.175
195.195	0.38	0.174
195.796	0.362	0.194
196.396	0.366	0.21
196.997	0.364	0.208
197.598	0.347	0.19
198.198	0.358	0.165
198.799	0.352	0.16
199.399	0.382	0.179
200.0	0.371	0.215
200.601	0.367	0.232
201.201	0.391	0.213
201.802	0.382	0.184
202.402	0.348	0.168
203.003	0.342	0.165
203.604	0.357	0.176
204.204	0.334	0.194
204.805	0.334	0.196
205.405	0.35	0.178
206.006	0.359	0.164
206.607	0.336	0.17
207.207	0.359	0.184
207.808	0.365	0.2
208.408	0.378	0.209
209.009	0.351	0.204
209.61	0.362	0.182
210.21	0.36	0.166
210.811	0.369	0.171
211.411	0.355	0.194
212.012	0.357	0.21
