Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.642	0.036
1.201	0.444	0.299
1.802	0.202	0.5
2.402	0.589	0.373
3.003	0.191	0.14
3.604	0.337	-0.096
4.204	0.368	-0.089
4.805	0.102	0.16
5.405	0.445	0.342
6.006	0.388	0.399
6.607	0.305	0.278
7.207	0.241	0.046
7.808	0.15	-0.113
8.408	0.239	-0.085
9.009	0.206	0.127
9.61	0.239	0.325
10.21	0.344	0.342
10.811	0.228	0.198
11.411	0.188	-0.013
12.012	0.249	-0.116
12.613	0.123	-0.004
13.213	0.21	0.181
13.814	0.298	0.3
14.414	0.183	0.277
15.015	0.189	0.093
15.616	0.175	-0.086
16.216	0.161	-0.102
16.817	0.266	0.059
17.417	0.297	0.288
18.018	0.412	0.401
18.619	0.33	0.332
19.219	0.212	0.116
19.82	0.219	-0.099
20.42	0.189	-0.119
21.021	0.3	0.068
21.622	0.438	0.341
22.222	0.197	0.485
22.823	0.377	0.302
23.423	0.37	0.009
24.024	0.37	-0.107
24.625	0.251	0.048
25.225	0.309	0.286
25.826	0.455	0.414
26.426	0.275	0.357
27.027	0.424	0.125
27.628	0.214	-0.038
28.228	0.181	-0.051
28.829	0.323	0.08
29.429	0.201	0.277
30.03	0.289	0.328
30.631	0.326	0.213
31.231	0.232	0.05
31.832	0.176	-0.044
32.432	0.197	-0.01
33.033	0.29	0.131
33.634	0.318	0.288
34.234	0.261	0.328
34.835	0.321	0.197
35.435	0.348	0.038
36.036	0.248	0.006
36.637	0.252	0.094
37.237	0.321	0.216
37.838	0.324	0.291
38.438	0.165	0.243
39.039	0.348	0.069
39.64	0.148	-0.024
40.24	0.259	-0.004
40.841	0.335	0.141
41.441	0.121	0.298
42.042	0.386	0.266
42.643	0.315	0.157
43.243	0.121	0.046
43.844	0.409	-0.023
44.444	0.24	0.101
45.045	0.205	0.255
45.646	0.395	0.282
46.246	0.263	0.223
46.847	0.315	0.097
47.447	0.271	0.027
48.048	0.161	0.057
48.649	0.426	0.133
49.249	0.246	0.265
49.85	0.363	0.288
50.45	0.426	0.219
51.051	0.225	0.137
51.652	0.389	0.059
52.252	0.183	0.093
52.853	0.425	0.154
53.453	0.479	0.267
54.054	0.085	0.338
54.655	0.51	0.186
55.255	0.296	0.073
55.856	0.085	0.037
56.456	0.339	0.034
57.057	0.11	0.133
57.658	0.335	0.188
58.258	0.394	0.222
58.859	0.224	0.229
59.459	0.381	0.15
60.06	0.346	0.108
60.661	0.22	0.129
61.261	0.304	0.147
61.862	0.309	0.173
62.462	0.291	0.185
63.063	0.303	0.166
63.664	0.316	0.14
64.264	0.366	0.139
64.865	0.239	0.175
65.465	0.333	0.178
66.066	0.356	0.173
66.667	0.211	0.169
67.267	0.396	0.13
67.868	0.319	0.147
68.468	0.341	0.188
69.069	0.409	0.223
69.67	0.196	0.234
70.27	0.287	0.138
70.871	0.294	0.048
71.471	0.064	0.044
72.072	0.2	0.05
72.673	0.248	0.102
73.273	0.17	0.175
73.874	0.208	0.175
74.474	0.236	0.115
75.075	0.224	0.059
75.676	0.31	0.064
76.276	0.288	0.153
76.877	0.116	0.228
77.477	0.32	0.172
78.078	0.148	0.09
78.679	0.164	0.007
79.279	0.343	0.007
79.88	0.124	0.141
80.48	0.383	0.231
81.081	0.373	0.279
81.682	0.278	0.242
82.282	0.494	0.135
82.883	0.249	0.117
83.483	0.346	0.132
84.084	0.372	0.186
84.685	0.23	0.236
85.285	0.454	0.199
85.886	0.357	0.179
86.486	0.331	0.169
87.087	0.473	0.171
87.688	0.366	0.229
88.288	0.413	0.264
88.889	0.46	0.251
89.489	0.429	0.224
90.09	0.354	0.195
90.691	0.574	0.175
91.291	0.453	0.254
91.892	0.603	0.331
92.492	0.657	0.386
93.093	0.373	0.383
93.694	0.513	0.23
94.294	0.438	0.096
94.895	0.406	0.084
95.495	0.495	0.196
96.096	0.453	0.357
96.697	0.488	0.412
97.297	0.393	0.315
97.898	0.349	0.122
98.498	0.401	-0.009
99.099	0.426	0.059
99.7	0.494	0.277
100.3	0.539	0.472
100.901	0.557	0.492
101.502	0.522	0.326
102.102	0.475	0.117
102.703	0.291	0.019
103.303	0.491	0.065
103.904	0.415	0.269
104.505	0.4	0.43
105.105	0.374	0.383
105.706	0.453	0.172
106.306	0.327	0.006
106.907	0.352	0.002
107.508	0.324	0.164
108.108	0.354	0.331
108.709	0.384	0.364
109.309	0.299	0.241
109.91	0.301	0.046
110.511	0.179	-0.051
111.111	0.212	-0.006
111.712	0.277	0.148
112.312	0.184	0.288
112.913	0.278	0.26
113.514	0.324	0.124
114.114	0.226	0.024
114.715	0.269	0.018
115.315	0.315	0.125
115.916	0.337	0.269
116.517	0.307	0.321
117.117	0.35	0.228
117.718	0.348	0.093
118.318	0.268	0.035
118.919	0.32	0.081
119.52	0.296	0.2
120.12	0.291	0.279
120.721	0.4	0.247
121.321	0.272	0.165
121.922	0.301	0.073
122.523	0.421	0.064
123.123	0.198	0.177
123.724	0.452	0.252
124.324	0.268	0.282
124.925	0.281	0.197
125.526	0.265	0.064
126.126	0.112	-0.011
126.727	0.433	0.006
127.327	0.292	0.196
127.928	0.41	0.363
128.529	0.471	0.387
129.129	0.379	0.273
129.73	0.527	0.103
130.33	0.43	0.082
130.931	0.309	0.188
131.532	0.558	0.29
132.132	0.419	0.376
132.733	0.283	0.315
133.333	0.509	0.122
133.934	0.28	0.034
134.535	0.406	0.072
135.135	0.478	0.236
135.736	0.32	0.398
136.336	0.6	0.37
136.937	0.415	0.263
137.538	0.242	0.115
138.138	0.438	-0.001
138.739	0.272	0.075
139.339	0.378	0.23
139.94	0.378	0.347
140.541	0.316	0.32
141.141	0.434	0.16
141.742	0.276	0.047
142.342	0.381	0.039
142.943	0.427	0.174
143.544	0.289	0.344
144.144	0.459	0.353
144.745	0.323	0.242
145.345	0.317	0.072
145.946	0.282	-0.014
146.547	0.14	0.042
147.147	0.371	0.148
147.748	0.27	0.277
148.348	0.237	0.284
148.949	0.325	0.149
149.55	0.116	0.019
150.15	0.095	-0.061
150.751	0.299	-0.028
151.351	0.19	0.157
151.952	0.257	0.297
152.553	0.336	0.286
153.153	0.316	0.17
153.754	0.26	0.049
154.354	0.218	0.007
154.955	0.283	0.07
155.556	0.207	0.196
156.156	0.285	0.25
156.757	0.329	0.207
157.357	0.33	0.131
157.958	0.341	0.093
158.559	0.313	0.133
159.159	0.291	0.202
159.76	0.283	0.223
160.36	0.269	0.173
160.961	0.314	0.094
161.562	0.37	0.079
162.162	0.267	0.158
162.763	0.357	0.229
163.363	0.307	0.253
163.964	0.262	0.19
164.565	0.358	0.087
165.165	0.211	0.063
165.766	0.355	0.099
166.366	0.298	0.204
166.967	0.135	0.258
167.568	0.315	0.158
168.168	0.136	0.045
168.769	0.112	-0.033
169.369	0.388	-0.012
169.97	0.327	0.188
170.571	0.352	0.376
171.171	0.445	0.389
171.772	0.327	0.246
172.372	0.302	0.041
172.973	0.197	-0.062
173.574	0.298	-0.002
174.174	0.221	0.192
174.775	0.189	0.316
175.375	0.366	0.25
175.976	0.202	0.112
176.577	0.147	-0.026
177.177	0.243	-0.06
177.778	0.19	0.067
178.378	0.405	0.239
178.979	0.32	0.365
179.58	0.455	0.323
180.18	0.419	0.193
180.781	0.322	0.081
181.381	0.427	0.061
181.982	0.275	0.176
182.583	0.317	0.269
183.183	0.41	0.27
183.784	0.275	0.205
184.384	0.398	0.1
184.985	0.195	0.075
185.586	0.286	0.092
186.186	0.277	0.155
186.787	0.182	0.205
187.387	0.322	0.163
187.988	0.302	0.119
188.589	0.14	0.101
189.189	0.365	0.08
189.79	0.254	0.142
190.39	0.184	0.195
190.991	0.417	0.175
191.592	0.265	0.171
192.192	0.4	0.158
192.793	0.349	0.183
193.393	0.234	0.205
193.994	0.382	0.166
194.595	0.314	0.147
195.195	0.406	0.154
195.796	0.357	0.206
196.396	0.299	0.237
196.997	0.36	0.202
197.598	0.191	0.141
198.198	0.316	0.061
198.799	0.285	0.066
199.399	0.416	0.158
200.0	0.399	0.297
200.601	0.298	0.349
201.201	0.467	0.24
201.802	0.345	0.116
202.402	0.218	0.052
203.003	0.268	0.053
203.604	0.307	0.134
204.204	0.2	0.231
204.805	0.245	0.22
205.405	0.266	0.12
206.006	0.286	0.038
206.607	0.215	0.053
207.207	0.312	0.133
207.808	0.355	0.238
208.408	0.379	0.297
209.009	0.268	0.253
209.61	0.295	0.113
210.21	0.3	0.012
210.811	0.317	0.046
211.411	0.304	0.187
212.012	0.284	0.3
212.613	0.422	0.282
213.213	0.299	0.192
213.814	0.304	0.076
214.414	0.332	0.038
215.015	0.244	0.116
215.616	0.367	0.215
216.216	0.355	0.286
