Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.839	0.052
1.201	0.657	0.396
1.802	0.498	0.697
2.402	0.842	0.62
3.003	0.638	0.348
3.604	0.617	0.075
4.204	0.585	0.029
4.805	0.485	0.233
5.405	0.604	0.465
6.006	0.677	0.555
6.607	0.669	0.457
7.207	0.572	0.255
7.808	0.541	0.097
8.408	0.524	0.112
9.009	0.513	0.274
9.61	0.559	0.433
10.21	0.617	0.462
10.811	0.593	0.358
11.411	0.556	0.21
12.012	0.548	0.138
12.613	0.497	0.199
13.213	0.52	0.319
13.814	0.566	0.396
14.414	0.566	0.379
15.015	0.525	0.283
15.616	0.535	0.183
16.216	0.526	0.17
16.817	0.545	0.255
17.417	0.584	0.368
18.018	0.643	0.424
18.619	0.616	0.395
19.219	0.58	0.299
19.82	0.549	0.206
20.42	0.549	0.19
21.021	0.584	0.264
21.622	0.632	0.377
22.222	0.563	0.439
22.823	0.62	0.374
23.423	0.643	0.26
24.024	0.656	0.218
24.625	0.564	0.286
25.225	0.599	0.367
25.826	0.65	0.399
26.426	0.605	0.369
27.027	0.645	0.296
27.628	0.574	0.254
28.228	0.558	0.259
28.829	0.579	0.295
29.429	0.562	0.336
30.03	0.566	0.339
30.631	0.59	0.303
31.231	0.584	0.269
31.832	0.528	0.265
32.432	0.548	0.275
33.033	0.59	0.296
33.634	0.588	0.326
34.234	0.57	0.338
34.835	0.592	0.314
35.435	0.625	0.287
36.036	0.591	0.292
36.637	0.573	0.315
37.237	0.6	0.323
37.838	0.598	0.322
38.438	0.528	0.307
39.039	0.596	0.271
39.64	0.54	0.263
40.24	0.582	0.28
40.841	0.591	0.316
41.441	0.531	0.34
42.042	0.597	0.314
42.643	0.6	0.282
43.243	0.54	0.275
43.844	0.611	0.28
44.444	0.598	0.317
45.045	0.561	0.349
45.646	0.595	0.331
46.246	0.608	0.294
46.847	0.591	0.278
47.447	0.573	0.289
48.048	0.564	0.309
48.649	0.632	0.32
49.249	0.584	0.333
49.85	0.628	0.326
50.45	0.621	0.318
51.051	0.607	0.315
51.652	0.617	0.315
52.252	0.568	0.319
52.853	0.664	0.31
53.453	0.651	0.329
54.054	0.535	0.352
54.655	0.65	0.322
55.255	0.612	0.299
55.856	0.548	0.296
56.456	0.551	0.286
57.057	0.547	0.277
57.658	0.592	0.279
58.258	0.601	0.306
58.859	0.602	0.34
59.459	0.608	0.35
60.06	0.639	0.332
60.661	0.595	0.312
61.261	0.569	0.291
61.862	0.607	0.28
62.462	0.592	0.299
63.063	0.58	0.325
63.664	0.624	0.334
64.264	0.632	0.333
64.865	0.582	0.326
65.465	0.611	0.303
66.066	0.613	0.294
66.667	0.569	0.306
67.267	0.625	0.315
67.868	0.618	0.331
68.468	0.635	0.341
69.069	0.629	0.341
69.67	0.578	0.328
70.27	0.573	0.291
70.871	0.585	0.263
71.471	0.506	0.27
72.072	0.51	0.276
72.673	0.564	0.276
73.273	0.544	0.291
73.874	0.509	0.298
74.474	0.568	0.282
75.075	0.564	0.274
75.676	0.591	0.288
76.276	0.597	0.319
76.877	0.508	0.337
