Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.613	0.036
1.201	0.437	0.287
1.802	0.282	0.486
2.402	0.641	0.401
3.003	0.303	0.216
3.604	0.39	0.005
4.204	0.421	-0.027
4.805	0.244	0.156
5.405	0.47	0.334
6.006	0.447	0.415
6.607	0.398	0.329
7.207	0.389	0.133
7.808	0.3	-0.002
8.408	0.335	0.017
9.009	0.346	0.178
9.61	0.358	0.341
10.21	0.43	0.365
10.811	0.376	0.253
11.411	0.335	0.091
12.012	0.353	0.009
12.613	0.295	0.084
13.213	0.343	0.228
13.814	0.389	0.326
14.414	0.36	0.308
15.015	0.344	0.18
15.616	0.326	0.052
16.216	0.32	0.034
16.817	0.354	0.139
17.417	0.388	0.286
18.018	0.441	0.357
18.619	0.408	0.307
19.219	0.362	0.171
19.82	0.337	0.053
20.42	0.335	0.05
21.021	0.38	0.164
21.622	0.433	0.31
22.222	0.369	0.371
22.823	0.418	0.274
23.423	0.411	0.122
24.024	0.408	0.058
24.625	0.353	0.134
25.225	0.389	0.26
25.826	0.448	0.334
26.426	0.39	0.308
27.027	0.436	0.193
27.628	0.352	0.102
28.228	0.337	0.092
28.829	0.379	0.162
29.429	0.355	0.261
30.03	0.382	0.293
30.631	0.398	0.239
31.231	0.37	0.153
31.832	0.327	0.104
32.432	0.34	0.119
33.033	0.381	0.189
33.634	0.388	0.266
34.234	0.38	0.284
34.835	0.395	0.224
35.435	0.403	0.148
36.036	0.367	0.127
36.637	0.36	0.168
37.237	0.393	0.228
37.838	0.397	0.265
38.438	0.337	0.245
39.039	0.405	0.169
39.64	0.328	0.122
40.24	0.367	0.128
40.841	0.39	0.191
41.441	0.323	0.259
42.042	0.414	0.253
42.643	0.396	0.207
43.243	0.327	0.157
43.844	0.414	0.128
44.444	0.369	0.173
45.045	0.349	0.237
45.646	0.41	0.254
46.246	0.388	0.23
46.847	0.387	0.182
47.447	0.373	0.152
48.048	0.343	0.159
48.649	0.42	0.19
49.249	0.372	0.24
49.85	0.412	0.253
50.45	0.425	0.229
51.051	0.375	0.196
51.652	0.41	0.167
52.252	0.346	0.176
52.853	0.435	0.198
53.453	0.44	0.242
54.054	0.323	0.267
54.655	0.454	0.217
55.255	0.388	0.174
55.856	0.321	0.158
56.456	0.374	0.158
57.057	0.328	0.186
57.658	0.395	0.207
58.258	0.408	0.224
58.859	0.379	0.23
59.459	0.404	0.208
60.06	0.408	0.189
60.661	0.367	0.19
61.261	0.372	0.195
61.862	0.398	0.201
62.462	0.382	0.21
63.063	0.381	0.21
63.664	0.404	0.201
64.264	0.406	0.2
64.865	0.366	0.207
65.465	0.401	0.205
66.066	0.401	0.204
66.667	0.361	0.206
67.267	0.418	0.197
67.868	0.395	0.203
68.468	0.407	0.215
69.069	0.419	0.225
69.67	0.356	0.225
70.27	0.376	0.193
70.871	0.381	0.163
71.471	0.304	0.163
72.072	0.331	0.164
72.673	0.367	0.174
73.273	0.338	0.198
73.874	0.333	0.203
74.474	0.369	0.184
75.075	0.357	0.169
75.676	0.386	0.173
76.276	0.388	0.202
76.877	0.309	0.225
77.477	0.389	0.199
78.078	0.328	0.169
78.679	0.333	0.145
79.279	0.399	0.151
79.88	0.327	0.201
80.48	0.413	0.232
81.081	0.414	0.244
81.682	0.387	0.228
82.282	0.449	0.193
82.883	0.379	0.19
83.483	0.406	0.2
84.084	0.41	0.219
84.685	0.376	0.23
85.285	0.436	0.215
85.886	0.413	0.207
86.486	0.407	0.207
87.087	0.443	0.215
87.688	0.424	0.235
88.288	0.431	0.245
88.889	0.445	0.236
89.489	0.444	0.223
90.09	0.409	0.216
90.691	0.485	0.214
91.291	0.45	0.243
91.892	0.493	0.269
92.492	0.513	0.283
93.093	0.427	0.277
93.694	0.46	0.229
94.294	0.445	0.187
94.895	0.435	0.186
95.495	0.455	0.225
96.096	0.452	0.273
96.697	0.456	0.288
97.297	0.425	0.255
97.898	0.415	0.193
98.498	0.428	0.155
99.099	0.439	0.18
99.7	0.46	0.249
100.3	0.473	0.309
100.901	0.482	0.312
101.502	0.47	0.259
102.102	0.454	0.195
102.703	0.397	0.167
103.303	0.456	0.182
103.904	0.433	0.244
104.505	0.428	0.29
105.105	0.411	0.273
105.706	0.449	0.207
106.306	0.402	0.16
106.907	0.411	0.163
107.508	0.402	0.213
108.108	0.408	0.26
108.709	0.415	0.264
109.309	0.393	0.223
109.91	0.386	0.167
110.511	0.349	0.142
111.111	0.356	0.157
111.712	0.374	0.199
112.312	0.343	0.235
112.913	0.37	0.222
113.514	0.396	0.182
114.114	0.368	0.163
114.715	0.374	0.172
115.315	0.399	0.204
115.916	0.403	0.239
116.517	0.385	0.245
117.117	0.406	0.213
117.718	0.405	0.179
118.318	0.38	0.174
118.919	0.4	0.193
119.52	0.387	0.225
120.12	0.386	0.236
120.721	0.419	0.217
121.321	0.378	0.196
121.922	0.391	0.179
122.523	0.432	0.187
123.123	0.361	0.224
123.724	0.441	0.237
124.324	0.374	0.234
124.925	0.386	0.201
125.526	0.363	0.167
126.126	0.328	0.151
126.727	0.437	0.162
127.327	0.385	0.224
127.928	0.434	0.271
128.529	0.443	0.274
129.129	0.423	0.236
129.73	0.469	0.188
130.33	0.436	0.189
130.931	0.405	0.225
131.532	0.473	0.254
132.132	0.437	0.272
132.733	0.388	0.249
133.333	0.455	0.189
133.934	0.396	0.167
134.535	0.426	0.186
135.135	0.45	0.239
135.736	0.408	0.284
136.336	0.484	0.269
136.937	0.435	0.232
137.538	0.378	0.19
138.138	0.429	0.161
138.739	0.393	0.185
139.339	0.415	0.232
139.94	0.409	0.262
140.541	0.405	0.247
141.141	0.427	0.201
141.742	0.387	0.171
142.342	0.424	0.175
142.943	0.428	0.219
143.544	0.395	0.265
144.144	0.437	0.261
144.745	0.394	0.222
145.345	0.403	0.172
145.946	0.372	0.154
146.547	0.34	0.173
147.147	0.408	0.202
147.748	0.372	0.235
148.348	0.366	0.232
148.949	0.384	0.192
149.55	0.323	0.157
150.15	0.305	0.135
150.751	0.379	0.14
151.351	0.353	0.193
151.952	0.357	0.239
152.553	0.395	0.237
153.153	0.401	0.206
153.754	0.366	0.176
154.354	0.364	0.161
154.955	0.381	0.174
155.556	0.345	0.207
156.156	0.38	0.219
156.757	0.391	0.21
157.357	0.4	0.196
157.958	0.405	0.194
158.559	0.393	0.207
159.159	0.387	0.22
159.76	0.376	0.215
160.36	0.373	0.192
160.961	0.391	0.173
161.562	0.411	0.181
162.162	0.38	0.217
162.763	0.409	0.238
163.363	0.388	0.234
163.964	0.376	0.201
164.565	0.401	0.165
165.165	0.357	0.167
165.766	0.406	0.191
166.366	0.385	0.231
166.967	0.33	0.241
167.568	0.38	0.194
168.168	0.324	0.145
168.769	0.311	0.122
169.369	0.409	0.142
169.97	0.406	0.222
170.571	0.403	0.293
171.171	0.439	0.289
171.772	0.406	0.227
172.372	0.385	0.152
172.973	0.348	0.121
173.574	0.388	0.15
174.174	0.352	0.222
174.775	0.345	0.26
175.375	0.405	0.227
175.976	0.351	0.174
176.577	0.328	0.131
177.177	0.357	0.128
177.778	0.353	0.175
178.378	0.421	0.235
178.979	0.393	0.274
179.58	0.447	0.255
180.18	0.426	0.212
180.781	0.402	0.178
181.381	0.431	0.176
181.982	0.382	0.215
182.583	0.396	0.242
183.183	0.42	0.237
183.784	0.386	0.212
184.384	0.418	0.182
184.985	0.35	0.179
185.586	0.387	0.186
186.186	0.371	0.204
186.787	0.348	0.213
187.387	0.387	0.195
187.988	0.387	0.182
188.589	0.333	0.184
189.189	0.403	0.184
189.79	0.378	0.203
190.39	0.345	0.216
190.991	0.421	0.202
191.592	0.383	0.198
192.192	0.418	0.201
192.793	0.405	0.218
193.393	0.374	0.229
193.994	0.41	0.212
194.595	0.4	0.195
195.195	0.425	0.193
195.796	0.402	0.215
196.396	0.396	0.232
196.997	0.403	0.227
197.598	0.356	0.203
198.198	0.394	0.169
198.799	0.378	0.165
199.399	0.433	0.195
200.0	0.421	0.25
200.601	0.391	0.276
201.201	0.448	0.241
201.802	0.409	0.194
202.402	0.362	0.164
203.003	0.369	0.16
203.604	0.39	0.187
204.204	0.348	0.226
204.805	0.36	0.227
205.405	0.378	0.192
206.006	0.385	0.161
206.607	0.352	0.165
207.207	0.393	0.191
207.808	0.404	0.229
208.408	0.417	0.252
209.009	0.378	0.239
209.61	0.388	0.191
210.21	0.389	0.154
210.811	0.396	0.163
211.411	0.386	0.211
212.012	0.383	0.25
212.613	0.431	0.246
213.213	0.391	0.217
213.814	0.393	0.179
214.414	0.399	0.165
215.015	0.373	0.189
215.616	0.409	0.221
216.216	0.408	0.245
216.817	0.422	0.24
217.417	0.407	0.214
218.018	0.419	0.189
218.619	0.432	0.191
219.219	0.397	0.222
219.82	0.372	0.241
220.42	0.404	0.219
221.021	0.436	0.191
221.622	0.398	0.193
222.222	0.433	0.212
222.823	0.451	0.243
223.423	0.435	0.266
224.024	0.469	0.254
224.625	0.464	0.233
225.225	0.398	0.216
225.826	0.443	0.197
226.426	0.435	0.207
227.027	0.382	0.233
227.628	0.469	0.237
228.228	0.38	0.237
228.829	0.331	0.205
229.429	0.415	0.151
230.03	0.346	0.149
230.631	0.375	0.18
231.231	0.454	0.229
231.832	0.406	0.277
232.432	0.445	0.271
233.033	0.459	0.227
233.634	0.451	0.194
234.234	0.426	0.198
234.835	0.414	0.225
235.435	0.381	0.242
236.036	0.432	0.223
236.637	0.401	0.202
237.237	0.408	0.19
237.838	0.431	0.201
238.438	0.382	0.231
239.039	0.445	0.239
239.64	0.461	0.237
240.24	0.444	0.238
240.841	0.426	0.233
241.441	0.396	0.219
242.042	0.381	0.193
242.643	0.439	0.177
243.243	0.378	0.202
243.844	0.343	0.223
244.444	0.449	0.213
245.045	0.388	0.212
245.646	0.412	0.208
246.246	0.502	0.215
246.847	0.374	0.252
247.447	0.403	0.245
248.048	0.428	0.207
248.649	0.31	0.177
249.249	0.389	0.144
249.85	0.368	0.159
250.45	0.412	0.21
251.051	0.428	0.263
251.652	0.409	0.277
252.252	0.457	0.237
252.853	0.404	0.192
253.453	0.383	0.166
254.054	0.423	0.175
254.655	0.368	0.221
255.255	0.432	0.247
255.856	0.387	0.246
256.456	0.388	0.207
257.057	0.496	0.169
257.658	0.373	0.201
258.258	0.391	0.234
258.859	0.484	0.243
259.459	0.408	0.252
260.06	0.468	0.233
260.661	0.422	0.218
261.261	0.383	0.206
261.862	0.453	0.194
262.462	0.342	0.211
263.063	0.373	0.205
263.664	0.41	0.19
264.264	0.352	0.192
264.865	0.434	0.195
265.465	0.372	0.219
266.066	0.342	0.222
266.667	0.444	0.192
267.267	0.349	0.188
267.868	0.42	0.188
268.468	0.428	0.212
269.069	0.421	0.248
269.67	0.479	0.259
270.27	0.461	0.259
270.871	0.392	0.239
271.471	0.417	0.192
272.072	0.381	0.166
272.673	0.367	0.171
273.273	0.427	0.2
273.874	0.385	0.244
274.474	0.382	0.25
275.075	0.462	0.215
275.676	0.367	0.194
276.276	0.366	0.175
276.877	0.411	0.173
277.477	0.334	0.201
278.078	0.409	0.213
278.679	0.415	0.221
279.279	0.355	0.222
279.88	0.385	0.194
280.48	0.421	0.173
281.081	0.409	0.192
281.682	0.415	0.232
282.282	0.379	0.256
282.883	0.398	0.228
283.483	0.449	0.184
284.084	0.409	0.182
284.685	0.423	0.212
285.285	0.491	0.253
285.886	0.472	0.292
286.486	0.462	0.29
287.087	0.469	0.245
287.688	0.374	0.194
288.288	0.389	0.15
288.889	0.426	0.156
289.489	0.395	0.218
290.09	0.418	0.273
290.691	0.411	0.276
291.291	0.387	0.221
291.892	0.427	0.154
292.492	0.396	0.146
293.093	0.409	0.196
293.694	0.425	0.262
294.294	0.424	0.29
294.895	0.504	0.26
295.495	0.461	0.225
296.096	0.4	0.204
296.697	0.44	0.193
297.297	0.346	0.207
297.898	0.374	0.204
298.498	0.406	0.194
299.099	0.393	0.199
299.7	0.399	0.21
300.3	0.429	0.221
300.901	0.395	0.232
301.502	0.388	0.22
302.102	0.433	0.195
302.703	0.41	0.195
303.303	0.413	0.214
303.904	0.438	0.235
304.505	0.405	0.246
305.105	0.428	0.23
305.706	0.44	0.207
306.306	0.415	0.203
306.907	0.41	0.213
307.508	0.471	0.228
308.108	0.356	0.25
308.709	0.394	0.222
309.309	0.431	0.179
309.91	0.328	0.171
310.511	0.382	0.172
311.111	0.32	0.192
311.712	0.323	0.193
312.312	0.393	0.176
312.913	0.318	0.176
313.514	0.341	0.172
314.114	0.394	0.176
314.715	0.371	0.202
315.315	0.384	0.224
315.916	0.371	0.222
316.517	0.369	0.195
317.117	0.395	0.167
317.718	0.314	0.17
318.318	0.395	0.176
318.919	0.423	0.207
319.52	0.349	0.245
320.12	0.398	0.233
320.721	0.339	0.19
321.321	0.36	0.141
321.922	0.329	0.131
322.523	0.366	0.163
323.123	0.344	0.217
323.724	0.365	0.239
324.324	0.395	0.217
324.925	0.345	0.18
325.526	0.375	0.148
326.126	0.364	0.156
326.727	0.337	0.195
327.327	0.388	0.221
327.928	0.381	0.226
328.529	0.331	0.204
329.129	0.366	0.158
329.73	0.323	0.138
330.33	0.359	0.151
330.931	0.37	0.195
331.532	0.367	0.237
332.132	0.362	0.236
332.733	0.442	0.198
333.333	0.4	0.183
333.934	0.419	0.196
334.535	0.479	0.232
335.135	0.428	0.278
335.736	0.455	0.279
336.336	0.447	0.239
336.937	0.433	0.195
337.538	0.447	0.181
338.138	0.423	0.213
338.739	0.484	0.256
339.339	0.501	0.295
339.94	0.426	0.297
340.541	0.488	0.239
341.141	0.421	0.188
341.742	0.36	0.166
342.342	0.438	0.172
342.943	0.399	0.223
343.544	0.438	0.264
344.144	0.504	0.274
344.745	0.419	0.267
345.345	0.463	0.222
345.946	0.407	0.19
346.547	0.392	0.182
347.147	0.475	0.201
347.748	0.36	0.25
348.348	0.474	0.256
348.949	0.425	0.245
349.55	0.344	0.211
350.15	0.406	0.156
350.751	0.41	0.149
351.351	0.404	0.202
351.952	0.457	0.265
352.553	0.459	0.301
353.153	0.433	0.28
353.754	0.474	0.215
354.354	0.379	0.173
354.955	0.403	0.16
355.556	0.442	0.193
356.156	0.353	0.253
356.757	0.424	0.259
357.357	0.412	0.225
357.958	0.325	0.178
358.559	0.455	0.137
359.159	0.361	0.176
359.76	0.412	0.234
360.36	0.435	0.273
360.961	0.39	0.266
361.562	0.467	0.21
362.162	0.385	0.175
362.763	0.371	0.168
363.363	0.427	0.188
363.964	0.375	0.233
364.565	0.451	0.251
365.165	0.442	0.251
365.766	0.401	0.229
366.366	0.464	0.196
366.967	0.372	0.197
367.568	0.398	0.203
368.168	0.372	0.209
368.769	0.357	0.202
369.369	0.402	0.185
369.97	0.289	0.183
370.571	0.346	0.161
371.171	0.347	0.154
371.772	0.311	0.17
372.372	0.389	0.185
372.973	0.32	0.208
373.574	0.393	0.201
374.174	0.397	0.194
374.775	0.356	0.197
375.375	0.396	0.194
375.976	0.383	0.199
376.577	0.447	0.209
377.177	0.451	0.238
377.778	0.409	0.262
378.378	0.457	0.245
378.979	0.429	0.219
379.58	0.438	0.2
380.18	0.464	0.209
380.781	0.43	0.245
381.381	0.458	0.266
381.982	0.454	0.26
382.583	0.472	0.234
383.183	0.47	0.218
383.784	0.493	0.229
384.384	0.47	0.263
384.985	0.463	0.28
385.586	0.513	0.267
386.186	0.429	0.248
386.787	0.457	0.211
387.387	0.463	0.2
387.988	0.377	0.221
388.589	0.424	0.226
389.189	0.451	0.226
389.79	0.399	0.23
390.39	0.487	0.221
390.991	0.438	0.236
391.592	0.39	0.243
392.192	0.471	0.222
392.793	0.394	0.215
393.393	0.4	0.203
393.994	0.453	0.198
394.595	0.431	0.225
395.195	0.462	0.254
395.796	0.481	0.27
396.396	0.48	0.267
396.997	0.434	0.247
397.598	0.477	0.213
398.198	0.498	0.212
398.799	0.458	0.252
399.399	0.488	0.284
400.0	0.492	0.288
400.601	0.422	0.259
401.201	0.446	0.2
401.802	0.467	0.171
402.402	0.419	0.206
403.003	0.448	0.257
403.604	0.429	0.283
404.204	0.385	0.253
404.805	0.423	0.179
405.405	0.407	0.142
406.006	0.355	0.166
406.607	0.456	0.217
407.207	0.421	0.279
407.808	0.38	0.284
408.408	0.503	0.221
409.009	0.421	0.184
409.61	0.391	0.185
410.21	0.443	0.207
410.811	0.456	0.249
411.411	0.417	0.278
412.012	0.464	0.257
412.613	0.435	0.218
413.213	0.43	0.19
413.814	0.422	0.193
414.414	0.421	0.222
415.015	0.444	0.249
415.616	0.434	0.259
416.216	0.407	0.237
416.817	0.453	0.198
417.417	0.426	0.19
418.018	0.4	0.212
418.619	0.493	0.237
419.219	0.503	0.276
419.82	0.498	0.3
420.42	0.563	0.292
421.021	0.492	0.278
421.622	0.475	0.248
422.222	0.525	0.222
422.823	0.492	0.239
423.423	0.534	0.277
424.024	0.51	0.312
424.625	0.489	0.305
425.225	0.437	0.25
425.826	0.431	0.177
426.426	0.429	0.149
427.027	0.36	0.186
427.628	0.429	0.231
428.228	0.447	0.266
428.829	0.403	0.266
429.429	0.436	0.219
430.03	0.441	0.18
430.631	0.394	0.183
431.231	0.399	0.21
431.832	0.401	0.235
432.432	0.397	0.237
433.033	0.407	0.211
433.634	0.423	0.187
434.234	0.404	0.191
434.835	0.418	0.216
435.435	0.437	0.243
436.036	0.461	0.256
436.637	0.441	0.252
437.237	0.431	0.23
437.838	0.489	0.207
438.438	0.457	0.224
439.039	0.455	0.256
439.64	0.496	0.273
440.24	0.447	0.272
440.841	0.451	0.238
441.441	0.442	0.201
442.042	0.448	0.192
442.643	0.42	0.221
443.243	0.429	0.249
443.844	0.513	0.26
444.444	0.413	0.267
445.045	0.47	0.236
445.646	0.513	0.213
446.246	0.471	0.237
446.847	0.449	0.27
447.447	0.455	0.271
448.048	0.513	0.244
448.649	0.486	0.235
449.249	0.475	0.245
449.85	0.515	0.26
450.45	0.508	0.28
451.051	0.514	0.288
451.652	0.495	0.275
452.252	0.495	0.248
452.853	0.474	0.229
453.453	0.508	0.231
454.054	0.506	0.262
454.655	0.501	0.295
455.255	0.521	0.298
455.856	0.493	0.273
456.456	0.492	0.236
457.057	0.448	0.216
457.658	0.408	0.212
458.258	0.444	0.213
458.859	0.442	0.23
459.459	0.412	0.245
460.06	0.428	0.236
460.661	0.386	0.212
461.261	0.393	0.181
461.862	0.438	0.174
462.462	0.452	0.216
463.063	0.41	0.272
463.664	0.454	0.28
464.264	0.411	0.244
464.865	0.422	0.184
465.465	0.474	0.161
466.066	0.417	0.211
466.667	0.401	0.27
467.267	0.46	0.277
467.868	0.407	0.243
468.468	0.407	0.185
469.069	0.42	0.154
469.67	0.392	0.18
470.27	0.453	0.234
470.871	0.443	0.286
471.471	0.43	0.288
472.072	0.414	0.231
472.673	0.406	0.162
473.273	0.426	0.14
473.874	0.427	0.193
474.474	0.436	0.274
475.075	0.488	0.314
475.676	0.486	0.296
476.276	0.431	0.236
476.877	0.456	0.171
477.477	0.357	0.16
478.078	0.413	0.181
478.679	0.461	0.233
479.279	0.435	0.289
479.88	0.472	0.291
480.48	0.436	0.248
481.081	0.449	0.19
481.682	0.426	0.171
482.282	0.398	0.2
482.883	0.458	0.242
483.483	0.428	0.276
484.084	0.483	0.267
484.685	0.444	0.239
485.285	0.447	0.209
485.886	0.478	0.202
486.486	0.491	0.239
487.087	0.47	0.289
487.688	0.477	0.301
488.288	0.457	0.263
488.889	0.398	0.202
489.489	0.393	0.15
490.09	0.383	0.149
490.691	0.36	0.194
491.291	0.392	0.234
491.892	0.388	0.246
492.492	0.379	0.218
493.093	0.422	0.174
493.694	0.386	0.168
494.294	0.367	0.194
494.895	0.421	0.222
495.495	0.409	0.244
496.096	0.397	0.238
496.697	0.412	0.205
497.297	0.351	0.178
497.898	0.363	0.159
498.498	0.374	0.167
499.099	0.383	0.202
499.7	0.366	0.233
500.3	0.371	0.226
500.901	0.38	0.19
501.502	0.354	0.159
502.102	0.37	0.156
502.703	0.352	0.185
503.303	0.363	0.215
503.904	0.377	0.22
504.505	0.402	0.204
505.105	0.429	0.194
505.706	0.381	0.207
506.306	0.417	0.218
506.907	0.42	0.225
507.508	0.456	0.23
508.108	0.403	0.237
508.709	0.436	0.223
509.309	0.424	0.212
509.91	0.349	0.204
510.511	0.486	0.189
511.111	0.387	0.219
511.712	0.386	0.239
512.312	0.458	0.228
512.913	0.367	0.22
513.514	0.362	0.19
514.114	0.386	0.16
514.715	0.372	0.167
515.315	0.403	0.202
515.916	0.415	0.243
