Time(s)	Relative Blade_disp(m)	Tower_disp(m)
0.0	0.0	0.0
0.601	0.986	0.061
1.201	0.822	0.467
1.802	0.598	0.844
2.402	0.858	0.755
3.003	0.795	0.365
3.604	0.747	0.027
4.204	0.609	0.019
4.805	0.476	0.284
5.405	0.613	0.529
6.006	0.745	0.577
6.607	0.751	0.451
7.207	0.488	0.253
7.808	0.501	0.074
8.408	0.501	0.067
9.009	0.43	0.233
9.61	0.472	0.397
10.21	0.582	0.427
10.811	0.528	0.333
11.411	0.486	0.191
12.012	0.516	0.11
12.613	0.399	0.166
13.213	0.416	0.268
13.814	0.475	0.324
14.414	0.466	0.311
15.015	0.373	0.23
15.616	0.441	0.126
16.216	0.453	0.113
16.817	0.498	0.216
17.417	0.56	0.358
18.018	0.694	0.446
18.619	0.621	0.446
19.219	0.551	0.336
19.82	0.495	0.181
20.42	0.517	0.101
21.021	0.589	0.179
21.622	0.678	0.38
22.222	0.487	0.537
22.823	0.634	0.453
23.423	0.747	0.249
24.024	0.827	0.181
24.625	0.554	0.328
25.225	0.615	0.455
25.826	0.739	0.46
26.426	0.634	0.382
27.027	0.716	0.269
27.628	0.56	0.239
28.228	0.521	0.267
28.829	0.563	0.305
29.429	0.52	0.328
30.03	0.498	0.303
30.631	0.558	0.242
31.231	0.562	0.222
31.832	0.427	0.258
32.432	0.481	0.273
33.033	0.589	0.269
33.634	0.579	0.296
34.234	0.513	0.328
34.835	0.57	0.309
35.435	0.685	0.283
36.036	0.608	0.316
36.637	0.552	0.354
37.237	0.616	0.333
37.838	0.604	0.299
38.438	0.418	0.269
39.039	0.576	0.21
39.64	0.461	0.214
40.24	0.565	0.259
40.841	0.581	0.331
41.441	0.437	0.366
42.042	0.583	0.291
42.643	0.608	0.223
43.243	0.464	0.23
43.844	0.625	0.263
44.444	0.618	0.345
45.045	0.521	0.403
45.646	0.579	0.345
46.246	0.639	0.249
46.847	0.599	0.228
47.447	0.533	0.28
48.048	0.523	0.331
48.649	0.701	0.338
49.249	0.579	0.353
49.85	0.694	0.337
50.45	0.665	0.335
51.051	0.661	0.347
51.652	0.659	0.356
52.252	0.55	0.35
52.853	0.794	0.306
53.453	0.769	0.347
54.054	0.458	0.422
54.655	0.727	0.363
55.255	0.673	0.3
55.856	0.505	0.282
56.456	0.455	0.252
57.057	0.482	0.211
57.658	0.581	0.212
58.258	0.607	0.293
58.859	0.624	0.397
59.459	0.638	0.433
60.06	0.734	0.384
60.661	0.626	0.325
61.261	0.537	0.268
61.862	0.627	0.234
62.462	0.605	0.278
63.063	0.558	0.351
63.664	0.675	0.377
64.264	0.716	0.376
64.865	0.583	0.362
65.465	0.645	0.308
66.066	0.665	0.278
66.667	0.547	0.302
67.267	0.675	0.323
67.868	0.672	0.364
68.468	0.728	0.397
69.069	0.692	0.41
69.67	0.578	0.376
70.27	0.545	0.273
70.871	0.576	0.184
71.471	0.368	0.191
72.072	0.359	0.21
72.673	0.499	0.217
73.273	0.465	0.259
73.874	0.368	0.284
74.474	0.516	0.239
75.075	0.52	0.212
75.676	0.588	0.246
76.276	0.597	0.333
